Sample ID ,Area Code,Soil pH,"Soil Moisture Content 
(water content %)","LOI 
(% weight loss)","Water Extractable P
(1:10 ratio)
(mg/kg)","Water Extractable P
(1:100 ratio)
(mg/kg)",Mod M3 P (mg/kg),Mehlich III - P (mg/kg),Total P (mg/kg),"Total Ag
(mg/kg)","Total Al
(mg/kg)","Total As 
(mg/kg)","Total Ba
(mg/kg)","Total Ca
(mg/kg)","Total Cd
(mg/kg)","Total Co
(mg/kg)","Total Cr
(mg/kg)","Total Cu
(mg/kg)","Total Fe
(mg/kg)","Total K
(mg/kg)","Total Li
(mg/kg)","Total Mg
(mg/kg)","Total Mn
(mg/kg)","Total Na
(mg/kg)","Total Ni
(mg/kg)","Total Pb
(mg/kg)","Total S
(mg/kg)","Total Se
(mg/kg)","Total Si
(mg/kg)","Total Zn
(mg/kg)"
LF 1 A 0-0.5,1,NM,38.55913495,3.008675771,4.929342754,NM,NM,16.26774235,,0.219689774,8635.568017,4.69574842,117.8291269,4022.015261,2.471965192,9.824985147,18.56169721,11.21210488,13279.05959,882.40524,12.24553586,727.3466764,1094.634318,39.43479648,18.51692377,16.30203096,252.4236576,BL,19.20630621,71.6086906
LF 1 A 0.5-1.0,1,NM,29.28132946,1.053631006,2.64,NM,NM,15.71262918,,0.141934078,5061.900002,3.255028689,80.21961526,2206.693488,1.700630272,7.433434718,14.08553362,7.436550606,9529.038353,503.5543886,6.236503885,427.6062262,538.7864882,23.66495573,12.64341462,14.46825064,101.1449532,BL,36.73535447,45.13181352
LF 1 B 0-0.5,1,NM,39.53659615,2.351805147,3.229784681,NM,NM,10.3786857,,0.191399009,6736.14764,4.655211596,113.3371433,4604.260905,2.495858497,9.054956124,16.79065249,10.83873225,13452.57691,881.0765713,10.70626229,674.2017447,1002.981243,33.08338299,15.88087447,24.55448138,253.1770872,BL,25.53802532,82.2363465
LF 1 B 0.5-1.0,1,NM,29.25186594,1.378232101,3.329556059,NM,NM,8.047269304,,0.29601916,4717.487351,2.574596687,83.86581342,2793.103397,1.413692649,6.928496191,13.35454491,8.024975289,10662.12519,630.7974543,6.89238958,453.4446871,613.9487876,24.8285582,10.96948808,23.25007422,135.2928095,BL,31.94830946,56.99585061
LF 1 C 0-0.5,1,NM,40.98238164,2.811948745,4.409853005,NM,NM,14.27315637,,0.29601916,3466.608735,BL,67.24823837,1688.658381,BL,5.475501245,11.09759663,6.306422488,9251.925532,555.3684787,5.152684583,332.5144283,378.5246469,19.6741278,7.849972568,22.78753973,96.96815536,BL,30.31182124,33.21894005
LF 1 C 0.5-1.0,1,NM,30.90985408,1.641542918,4.009064552,NM,NM,9.936464061,,0.212927253,5819.928083,4.891602839,92.97683238,3285.878253,2.026207159,7.733795458,14.36690535,8.555794833,11175.84139,607.162793,7.608873679,510.6056396,763.2095653,26.37150525,12.72019858,19.38173596,181.621888,BL,31.09141713,54.10859222
LF 1 D 0-0.5,1,NM,40.52470914,3.415440857,5.06864836,NM,NM,5.711407676,,0.174483503,7996.368591,4.865973807,124.1012584,4348.158659,2.240215063,10.20351028,19.1993523,11.44584133,13200.16511,1048.591624,13.07722486,803.2588879,968.4270343,27.31958697,19.27835366,17.68280251,310.2573991,BL,36.33945901,65.08224018
LF 1 D 0.5-1.0,1,NM,33.62768482,1.092785425,3.259130898,NM,NM,11.71191225,,0.130086973,9679.925093,2.261061307,82.04592953,1932.57814,1.674639217,7.049976137,25.43184039,7.700736489,9905.291755,1175.263647,13.75656173,751.8744922,425.7424377,45.38136658,14.64319287,15.45843349,89.27232052,BL,52.40128926,47.11882511
LF 1 E 0-0.5,1,NM,41.27142339,2.612798685,4.769364085,NM,NM,7.602343708,,0.239012722,7152.573265,3.634641366,108.5649683,3649.223598,2.451079986,9.006681457,17.86917824,10.1327386,13122.62081,870.9828441,11.62258703,676.2132199,910.8547073,33.21578123,15.57559065,23.23958033,196.6275361,BL,25.71225684,70.16413398
LF 1 E 0.5-1.0,1,NM,31.61737072,1.988140749,3.819618038,NM,NM,10.43425307,,0.251351612,7182.882272,4.45716621,106.44707,3355.378404,2.520127707,8.921737458,17.74473127,10.13494789,13444.22793,874.5958282,11.14066495,655.1665457,874.7788221,31.0393353,14.93379122,25.38670182,176.8978638,BL,31.05345375,69.10311397
LF 2 A 0-0.5,1,NM,44.65943269,3.045831477,2.66928819,NM,NM,6.155976211,,0.182318736,10494.20087,5.571075628,138.3690331,4934.913465,2.442622743,10.51780565,23.05766272,12.06388562,14488.34395,1182.317792,17.46022133,991.0229531,1003.279298,38.09532918,20.98053141,19.34126394,322.3198851,BL,38.29205836,70.08330093
LF 2 A 0.5-1.0,1,NM,31.38325557,2.133211956,1.529592109,NM,NM,1.710233883,,0.17680945,8824.034157,4.502761576,131.060272,3530.779954,2.34951324,10.5521248,19.90549435,9.776365319,13764.54968,896.8557791,14.08585514,791.2458057,1018.069668,32.71648281,18.9487564,20.7336339,209.131158,BL,33.63912027,59.68248946
LF 2 B 0-0.5,1,NM,40.21992326,2.356759136,3.038885742,NM,NM,6.82464807,,0.165056903,8267.926539,4.963641472,133.9145332,4401.403744,2.373771866,10.4518634,19.33914934,11.2444349,13908.03348,964.4331299,13.12644588,800.3022081,1012.346517,27.90111653,19.65871399,18.70502821,291.8544891,BL,31.4005573,65.10306699
LF 2 B 0.5-1.0,1,NM,27.34094056,1.263674578,1.209637109,NM,NM,4.099573561,,0.173491873,7551.825866,4.985927078,119.1954994,2194.757129,2.091989208,10.25237162,16.94019663,8.180131176,12748.31957,739.6720874,10.42628819,633.174197,993.2760088,23.18027671,16.54288538,17.48073954,124.1411857,BL,28.7116308,45.19654399
LF 2 C 0-0.5,1,NM,43.07649335,2.322141154,3.728881336,NM,NM,6.102845144,,0.237173072,7360.791937,5.592974284,110.0995554,3020.463996,2.451712671,8.843562384,16.73425973,9.877979735,13392.02395,822.0815458,11.3062267,603.6033242,806.6569395,28.11159483,14.30948472,24.02103439,191.6472438,BL,29.57450715,53.17691079
LF 2 C 0.5-1.0,1,NM,29.01984909,2.019087097,2.209263579,NM,NM,5.934087365,,0.240803276,7434.710947,4.863430114,120.7366076,3253.70219,2.50972686,9.488523008,17.49154146,10.5531375,13823.91313,791.0762895,12.64759371,639.0184398,905.24313,31.27684538,15.37617733,27.5434996,190.8376108,BL,29.38896556,62.84676198
LF 2 D 0-0.5,1,NM,38.7923641,2.556032019,2.262622896,NM,NM,13.71546918,,0.202085516,9672.657283,5.023900185,128.0082612,4212.764498,2.73272676,9.971025962,20.53444084,12.01931491,14030.1843,1175.64329,17.47270962,780.1204336,1070.868902,41.93902513,19.27560183,16.07187815,257.8936768,BL,31.61316876,68.38891399
LF 2 D 0.5-1.0,1,NM,29.30016189,1.817806469,3.338998301,NM,NM,8.323802479,,0.228609573,7034.409218,5.769147252,123.874443,2777.786002,2.545552618,10.19738456,16.2754043,9.895000977,13430.8696,804.6487931,10.44895492,601.9040476,933.787246,22.22464399,16.68909778,20.09208604,182.9545439,BL,25.65089252,50.67216034
LF 3 0-10,1,6.67,34.56433825,3.660813073,2.668265627,40.88569001,4.769205132,7.213268462,,0.23367388,7875.736646,5.595308484,128.1497707,4878.115608,2.475234541,9.630881511,17.24965504,12.38250451,13114.54757,924.0249138,13.44212761,663.8086966,974.4683203,35.00967393,18.16414907,16.1153568,318.6447376,BL,28.72791701,60.51359493
LF 3 10-20,1,NM,28.77400783,2.325225011,1.789880675,NM,NM,8.825445729,,BL,5610.839244,4.759644693,125.0490674,3049.650916,BL,8.374179666,14.91860846,11.34044367,15066.27141,720.4999498,7.957134894,515.6895268,967.7047813,26.7525845,12.82456759,38.03858311,264.8643141,BL,26.20306409,49.95918631
LF 4 0-10,1,NM,39.48283447,3.004820133,4.568477174,NM,7.688462308,12.65947817,,0.176382279,7497.295144,4.426121052,114.2248428,4124.925974,2.335333501,9.300777121,15.09519098,11.66351663,13013.83232,896.3783568,10.45042417,597.0434743,923.6086887,25.25669756,16.64348005,15.03114323,260.8460004,BL,31.0461924,53.89487532
LF 4 10-20,1,6.55,32.56069434,2.260545135,5.678107298,NM,12.73830156,20.55367614,,0.186793667,6070.303351,5.27862835,121.4880229,3492.517996,2.676773335,9.670730211,14.99482819,11.38830281,14708.26413,899.231731,9.284870008,574.1556568,1058.632659,23.31018056,15.77366655,26.48127859,225.7249324,BL,26.32718682,61.0601082
LF 5 0-10,1,6.85,31.18239872,3.547287601,3.318230277,34.2879992,4.628919919,9.547719941,,0.189729692,6200.930718,4.724305894,115.319307,4787.026119,2.385245363,8.988251934,15.03549393,11.01533149,13453.58917,857.879428,10.07335481,587.0990732,946.164162,25.12707701,14.99048705,24.26277951,323.4645402,BL,33.37118339,54.88299362
LF 5 10-20,1,NM,27.30713864,2.664890609,4.548938581,NM,6.389361064,10.49191769,,0.223413385,8361.66378,4.946749779,120.5732211,4251.378154,2.553223361,9.568829788,18.41242848,11.61577123,13113.18813,991.8144022,14.69526399,679.6464478,957.3446186,32.38885331,18.03236193,15.82044766,262.9317838,BL,34.80794747,59.94367812
LF 6 0-10,1,NM,33.37831513,2.902146399,2.229702706,NM,NM,11.65828868,,BL,4571.591282,BL,103.7923361,4334.769095,BL,8.002575894,12.56809425,9.29511623,13138.75091,820.0531328,6.487655903,498.7178444,887.3124888,20.43927402,11.93805536,30.64378391,370.7581439,BL,22.83377511,46.91327378
LF 6 10-20,1,NM,31.28460339,2.789402554,2.969406119,NM,9.529682344,8.767232143,,0.17641275,7712.575568,4.606580468,118.9226501,4014.352131,2.386736908,9.538440932,17.22971277,10.75560789,12976.91185,915.4495088,13.30954196,640.9504596,930.2997761,30.68670419,17.28055043,15.30942657,224.5920646,BL,28.02623384,53.57641042
LF 7 0-10,1,NM,30.32943984,2.94325205,4.599233461,NM,5.49890022,8.158709258,,0.209631463,9216.518101,5.105657228,125.0408946,4238.396282,2.545941441,9.852779302,17.18143492,11.69341393,14264.66216,937.5060869,13.49664668,675.4918939,991.4472283,31.17285207,17.79464465,15.45793251,290.7915155,BL,32.60116121,59.0228695
LF 7 10-20,1,NM,29.67710968,2.372010785,4.958347218,NM,16.0289314,12.99078461,,0.230897742,9181.726518,5.792332861,134.3659282,3536.117645,2.943517126,10.40907617,19.75765829,12.46746846,14347.29188,1015.03132,15.93093459,725.494436,1318.75704,35.97350474,19.24417079,17.98559132,203.9078454,BL,29.64143452,70.54395486
LF 8 0-10,1,6.61,38.36831289,3.298437509,3.538820393,48.58542437,8.419158084,16.32711339,,0.186374133,7124.037075,5.019559659,121.2558827,3865.261011,2.642801427,9.5488546,16.82333977,11.15594978,14541.68372,1032.693431,11.91589793,651.3110049,984.3840986,28.5507479,16.58783962,25.19650069,280.1069082,BL,28.79637422,59.83866582
LF 8 10-20,1,6.32,29.34728277,2.274322655,3.417493838,NM,9.818690841,10.93399507,,0.257652313,10652.35702,5.681015678,135.9042498,3526.027128,2.928300104,11.20468411,22.81119641,12.80044657,15405.68271,1327.066458,19.49829222,848.5393428,1156.486857,40.72102108,21.16842228,18.69352135,219.6204814,BL,31.17511938,71.87922032
LF 9 0-10,1,NM,39.8673608,3.023836046,4.029194161,NM,12.94870513,13.48955926,,0.198070795,9413.924368,5.337465344,123.5909025,4411.329712,2.569849402,9.6661185,20.19176081,11.97227918,13511.89705,1321.729561,17.24199681,800.8510363,914.1712632,36.56510612,18.9333571,74.9631531,303.6132192,BL,28.59521602,64.64349225
LF 9 10-20,1,NM,34.43766245,1.646660092,7.277816655,M,21.91634728,76.38413811,,0.153499525,8060.05347,3.864510551,90.01837948,2222.786905,2.148587003,8.508302942,16.68624158,9.987932715,12298.72031,795.8589751,10.963889,564.1112635,585.635737,25.02672109,12.87110282,16.5018593,125.9518971,BL,26.34320047,45.91870744
