Sample Location ,LOI_10,LOI_20,LOI_30
LF 3 ,3.66,2.33,
LF 4,3,2.26,
LF 5,3.55,2.66,
LF 6,2.9,2.79,
LF 7,2.94,2.37,
LF 8,3.3,2.27,
LF 9,3.02,1.65,
LF 10,3.04,2.17,
LF 11,2.69,2.53,2.15
LF 12,3.41,2.74,2.64
LF 13,2.92,2.5,2.05
LF 14,3.03,2.27,1.94
LF 15,2.45,1.95,1.77
LF 16,2.82,2.19,1.93
LF 17,3.15,2.08,2.02
LF 18,2.23,1.69,1.8
LF 19,1.26,1.98,1.85
LF 20,2.04,1.15,1.73
LF 21,3.16,2.3,1.83
LF 22,2.44,1.62,1.16
LF 23,2.21,1.99,2.24
LF 24,2.37,2.17,2.35
LF 25,2.83,1.91,1.9
LF 26,2.42,2.14,2.44
LF 27,2.32,1.68,1.52
LF 28,2.62,2.12,1.82
LF 29,2.31,2.02,1.81
LF 30,2.62,2.35,2.47
LF 31,2.33,2.21,1.84
LF 32,2.19,2.07,1.78
LF 33,2.57,2.14,1.86
LF 34,3.63,2.8,2.71
LF 35,2.79,1.8,1.25
LF 36,2.24,2.31,1.36
LF 37,2.8,1.78,1.44
LF 38,5.45,1.41,1.02
LF 39,1.31,1.86,2.06
LF 43,2.37,1.52,1.15
LF 44,2.36,2,1.68
LF 45,2.24,1.94,1.78
LF 46,2.17,1.94,1.58
