UID,DEPTH,DEPTH_A,AREA,ELEV,SAND_P,CLAY_P,SILT_P,pH,SMC,LOI,WEP,WEP100,MM3,M3,TP,AG,AL,AS,BA,CA,CD,CO,CR,CU,FE,K,LI,MG,MN,NA,NI,PB,S,SE,SI,ZN,P_sorb,PSI
3a,10,0-10cmbgs,1,280.1,27.37897536,13.93484586,58.68617878,6.7,34.6,3.7,2.7,40.9,4.8,7.2,268.2,0.2,7875.7,5.6,128.1,4878.1,2.5,9.6,17.2,12.4,13114.5,924,13.4,663.8,974.5,35,18.2,16.1,318.6,,28.7,60.5,380,217.4
3b,20,10-20cmbgs,1,280.1,5.107924784,17.64274928,77.24932594,,28.8,2.3,1.8,,,8.8,304,,5610.8,4.8,125,3049.7,,8.4,14.9,11.3,15066.3,720.5,8,515.7,967.7,26.8,12.8,38,264.9,,26.2,50,396.8,227.8
4a,10,0-10cmbgs,1,280.36,9.996881821,12.67227939,77.33083879,,39.5,3,4.6,,7.7,12.7,337.2,0.2,7497.3,4.4,114.2,4124.9,2.3,9.3,15.1,11.7,13013.8,896.4,10.5,597,923.6,25.3,16.6,15,260.8,,31,53.9,374.8,214.1
4b,20,10-20cmbgs,1,280.36,17.40778284,13.93181898,68.66039818,6.6,32.6,2.3,5.7,,12.7,20.6,375.4,0.2,6070.3,5.3,121.5,3492.5,2.7,9.7,15,11.4,14708.3,899.2,9.3,574.2,1058.6,23.3,15.8,26.5,225.7,,26.3,61.1,393.2,225.6
5a,10,0-10cmbgs,1,280.93,18.6348232,12.68677404,68.67840277,6.9,31.2,3.5,3.3,34.3,4.6,9.5,266.3,0.2,6200.9,4.7,115.3,4787,2.4,9,15,11,13453.6,857.9,10.1,587.1,946.2,25.1,15,24.3,323.5,,33.4,54.9,349.6,198.7
5b,20,10-20cmbgs,1,280.93,,,,,27.3,2.7,4.5,,6.4,10.5,370.4,0.2,8361.7,4.9,120.6,4251.4,2.6,9.6,18.4,11.6,13113.2,991.8,14.7,679.6,957.3,32.4,18,15.8,262.9,,34.8,59.9,349.6,198.7
6a,10,0-10cmbgs,1,279.78,11.15017817,12.68569688,76.16412495,,33.4,2.9,2.2,,,11.7,298.9,,4571.6,,103.8,4334.8,,8,12.6,9.3,13138.8,820.1,6.5,498.7,887.3,20.4,11.9,30.6,370.8,,22.8,46.9,316.9,178.9
6b,20,10-20cmbgs,1,279.78,12.3466754,13.94257558,73.71074903,,31.3,2.8,3,,9.5,8.8,303.8,0.2,7712.6,4.6,118.9,4014.4,2.4,9.5,17.2,10.8,12976.9,915.4,13.3,641,930.3,30.7,17.3,15.3,224.6,,28,53.6,341.4,193.7
7a,10,0-10cmbgs,1,280.03,33.77384142,11.24595146,54.98020713,,30.3,2.9,4.6,,5.5,8.2,356.6,0.2,9216.5,5.1,125,4238.4,2.5,9.9,17.2,11.7,14264.7,937.5,13.5,675.5,991.4,31.2,17.8,15.5,290.8,,32.6,59,291.8,163.8
7b,20,10-20cmbgs,1,280.03,25.02886389,11.24567042,63.7254657,,29.7,2.4,5,,16,13,424.5,0.2,9181.7,5.8,134.4,3536.1,2.9,10.4,19.8,12.5,14347.3,1015,15.9,725.5,1318.8,36,19.2,18,203.9,,29.6,70.5,346,196.5
8a,10,0-10cmbgs,1,280.32,12.3348469,12.69495376,74.97019935,6.6,38.4,3.3,3.5,48.6,8.4,16.3,369.4,0.2,7124,5,121.3,3865.3,2.6,9.5,16.8,11.2,14541.7,1032.7,11.9,651.3,984.4,28.6,16.6,25.2,280.1,,28.8,59.8,349.4,198.5
8b,20,10-20cmbgs,1,280.32,12.3348469,18.59260944,69.07254366,6.3,29.3,2.3,3.4,,9.8,10.9,374.9,0.3,10652.4,5.7,135.9,3526,2.9,11.2,22.8,12.8,15405.7,1327.1,19.5,848.5,1156.5,40.7,21.2,18.7,219.6,,31.2,71.9,342,194
9a,10,0-10cmbgs,1,280.1,11.07401002,16.09565417,72.83033581,,39.9,3,4,,12.9,13.5,384,0.2,9413.9,5.3,123.6,4411.3,2.6,9.7,20.2,12,13511.9,1321.7,17.2,800.9,914.2,36.6,18.9,75,303.6,,28.6,64.6,351.6,199.9
9b,20,10-20cmbgs,1,280.1,2.35346148,18.58982207,79.05671645,,34.4,1.6,7.3,,21.9,76.4,549,0.2,8060.1,3.9,90,2222.8,2.1,8.5,16.7,10,12298.7,795.9,11,564.1,585.6,25,12.9,16.5,126,,26.3,45.9,324,183.1
10a,10,0-10cmbgs,1,279.61,19.82425316,16.09513122,64.08061561,,32.8,3,2.6,43.3,8.2,9.4,212.2,0.3,8238.5,4.8,132.8,4976.8,2.7,9.7,17.4,11.1,13545.8,997,14.6,690.5,1231,37.3,18.1,15.5,283.1,,27.8,64,336,190.4
10b,20,10-20cmbgs,1,279.61,4.858987428,23.58537707,71.55563551,,29.7,2.2,2.2,,6.3,6.9,128.5,0.1,5184.7,4.2,98.2,2619.8,2.1,7.7,12.3,7.9,11817.5,646.7,6.8,444.3,442.7,27.9,11.2,22.5,94.8,,25.9,33.2,305.1,171.8
11a,10,0-10cmbgs,3,278.84,12.33835197,16.09295933,71.5686887,,33.2,2.7,2,,,13,138.5,,4051.6,,86.8,3590.2,,6.8,11,7.6,11049.3,708.2,5.9,429.2,761.4,20,9.6,26.5,261.5,,24.1,38.3,305.8,172.2
11b,20,10-20cmbgs,3,278.84,11.09889561,16.09114987,72.80995453,,31.1,2.5,2.7,,14.8,9.7,197.4,0.2,6906.5,5,108.2,3639.1,2.4,8.8,15.6,9.4,11876.2,898.5,11.7,575.8,902.3,28.2,15.8,13.9,210.9,,31.4,57.7,344.2,195.4
11c,30,20-30cmbgs,3,278.84,11.0900095,18.59163376,70.31835674,,28.1,2.2,2.8,,18.4,11.5,193.1,0.2,6010.3,4.4,99.2,2917.8,2.3,8.2,14.4,8.9,12535.1,784.1,9,501,845.7,25,13.5,22.2,162.9,,29.9,50.1,292,163.9
12a,10,0-10cmbgs,3,278.41,10.24267444,18.58081531,71.17651025,,37,3.4,4.6,41.7,10.6,19.8,238.9,0.2,8454.8,5.1,127.2,4260.9,2.4,9.4,18,11.8,13343.3,1013.1,14.9,713.4,877.5,34.9,17.8,16.1,266.1,,29.2,53.4,325.6,184.1
12b,20,10-20cmbgs,3,278.41,5.196927521,19.84017911,74.96289337,,31.6,2.7,2.3,,,15.3,252.4,,6382.7,,123.6,3692.3,,8.9,16,10.6,16421.4,892.5,9.9,607.6,931.8,29,14.3,37.9,268.8,,29.2,55.3,113.6,61.7
12c,30,20-30cmbgs,3,278.41,7.731657483,18.58355356,73.68478896,,26.1,2.6,2.7,,,9,247.3,,5565.2,4.8,110.9,3064.9,,8.1,14.1,9.3,14645,829.5,8.5,525.5,851.1,25.9,12.6,34.1,200.3,,31.8,50,286.4,160.6
13a,10,0-10cmbgs,3,279.11,,,,,32.9,2.9,3.5,,12.6,11.6,208.4,0.2,8373.6,4.8,112.8,3860.5,2.3,8.8,15.7,10.1,12956.1,972,11.9,611.6,860.1,26.6,15.8,14.6,253.5,,31,50.5,221,122.4
13b,20,10-20cmbgs,3,279.11,8.977369236,19.83314183,71.18948893,,25.5,2.5,2.7,,10.5,13.8,198.6,0.2,6666.8,5.6,112.6,3158.8,2.7,9.2,15.3,10,13981.2,860.2,9.9,544.1,1007.8,26.4,14.6,24.7,196.9,,50.3,60.4,65,35
13c,30,20-30cmbgs,3,279.11,5.210665174,21.08650464,73.70283019,,25.2,2,2,,,10.2,182.9,,5091,,104.7,2760.5,,8.9,14.1,9.3,15120.8,750.5,6.7,480.7,1010.6,22.2,12.3,35.9,169.1,,36.6,53.4,195.8,107.9
14a,10,0-10cmbgs,3,279,10.191312,18.59144793,71.21724007,,32.7,3,2.7,44.8,10.3,19,225,0.2,7318.6,5.5,120.3,4014.2,2.4,8.9,15.8,10.6,14054.9,919.7,11.4,605.6,880.3,28.4,14.8,25,292.4,,43.3,55,269.7,150.8
14b,20,10-20cmbgs,3,279,5.209244222,19.8376015,74.95315428,,28.2,2.3,2.6,,12.8,10.7,198,0.2,6790.2,4.4,111.1,2927.8,2.5,8.6,15.2,9.8,13750.1,783.9,9.8,534.7,812,27.3,14.1,24.4,164.2,,150.6,49.3,282.4,158.3
14c,30,20-30cmbgs,3,279,7.666620008,21.09620268,71.23717731,,26.7,1.9,3,,14.8,17.3,238.3,0.2,4855.6,3.4,86.9,2140,1.9,7,12.3,8.4,11344.8,573.4,6.3,393.7,519,22.5,10.9,23.5,127.5,,40.4,38.2,244.2,135.8
15a,10,0-10cmbgs,3,279.09,9.933298718,12.68123178,77.38546951,6.6,29.9,2.5,4.7,,7.7,11.8,245.3,0.2,6047,4.5,106.2,3713.8,2,8.1,13.9,9.5,11056.8,742,9.5,536.6,784.8,24.4,14.7,14.1,252,,31.5,45.6,271.2,151.6
15b,20,10-20cmbgs,3,279.09,7.315756321,17.69699151,74.98725217,6.2,27,1.9,3.5,,13.7,13.6,185.3,0.2,6129.9,4.3,109.1,2577.3,2.2,8.8,14.5,9.5,12210,660.2,8.7,499.2,809.8,23.2,15,15.8,127.9,,28.1,46.3,289.2,162.3
15c,30,20-30cmbgs,3,279.09,11.07756595,15.19528946,73.72714459,6.4,26.3,1.8,3.3,,9.9,11.1,223.5,0.1,5058.6,3.4,85.9,1959.9,1.8,7.2,12.9,7.8,9677.9,537.6,7.2,403.5,484.4,20.4,12.4,14.1,92.6,,21.5,35.6,293.6,164.9
16a,10,0-10cmbgs,3,279.36,21.25669318,7.499362554,71.24394426,,34.2,2.8,3,53.6,12.3,11.4,224.6,0.2,6151.5,4.9,108.8,3481.3,2.3,8.3,13.8,9.8,13170.1,855,9.1,539.3,948.9,23.4,13.6,22.2,248.9,,43.5,54.6,290.2,162.9
16b,20,10-20cmbgs,3,279.36,21.26259798,14.99760038,63.73980163,6.4,28.2,2.2,4.7,,10.8,9.3,208.3,0.2,6717.6,4.7,115.5,2882.6,2.5,9.6,15.7,10.3,13193.5,804.3,9.7,565.5,944.5,24.2,16.1,16.5,140.1,,29.6,51.4,180.4,99.2
16c,30,20-30cmbgs,3,279.36,25.00374981,13.74931253,61.24693765,,28.9,1.9,2.1,,,8.7,207.3,,5082.4,4.8,107.5,2627.1,,8.3,13.8,9,14457.8,759.8,6.9,492.5,914.8,21.1,12,34.3,151.9,,30.4,48,258.6,144.2
17a,10,0-10cmbgs,3,279.39,14.95648008,15.17208337,69.87143656,6.5,34.1,3.1,5,,9.8,10.3,211.7,0.2,7506.9,5.1,109.5,3805.1,2.2,8.5,14.6,10,12352.4,886,10.8,582.9,871.2,24.5,15.3,14.1,259.9,,31,52.4,229.4,127.2
17b,20,10-20cmbgs,3,279.39,6.079819657,21.44319179,72.47698856,6.4,27.2,2.1,5.4,,16.8,10.4,211.2,0.2,7823.6,4.4,114,2756.8,2.4,9.3,17.5,10.1,13047.6,993.9,13.2,635.4,950.8,27.3,17.1,15.7,140.7,,22.1,53.3,320.8,181.2
17c,30,20-30cmbgs,3,279.39,7.397464169,21.42744761,71.17508822,6.5,26.5,2,4.3,,19.9,10.6,189.2,0.2,8107.5,4.7,117,2659.7,2.4,9.3,18.8,10,12610.5,1050.3,14.2,657,916.7,29.6,17.6,15.9,128.7,,25.7,51.9,239,132.8
18a,10,0-10cmbgs,3,278.96,7.411337866,18.92723999,73.66142214,6.4,29.7,2.2,4.4,42.1,10.9,14.8,208.6,0.2,8641.9,4.7,117.1,3016.8,2.3,9,19.5,11.5,12503.9,1034.9,15.5,666.3,775.8,33.3,17.4,17,167,,50,53.7,255.8,142.6
18b,20,10-20cmbgs,3,278.96,11.14906879,18.92889428,69.92203693,6.5,28,1.7,3.2,,7.7,11.3,189.9,0.2,7917.7,4.4,102.4,2382.9,2.1,8.4,16.3,9.3,12180,750.4,11.2,519.4,613.7,26.4,15.1,15.9,114.4,,48.1,43.5,238.4,132.5
18c,30,20-30cmbgs,3,278.96,2.336867832,23.94096229,73.72216988,6.4,28.7,1.8,2.8,,8.1,11.3,167.5,0.2,7176.8,4.3,96.5,2463.5,2.1,8.2,16.9,8.8,11446,784,12,534.6,399.4,28,14.8,15.8,98.3,,38.9,39.5,298.8,168
19a,10,0-10cmbgs,2,279.13,26.1452726,20.17397557,53.68075183,6.9,15.1,1.3,2.5,28.6,4.9,1.2,104.4,0.2,5513.3,3.8,83.1,3041.3,1.8,7.2,14.8,7.4,10733.1,660.6,9.2,446.3,645,26.4,13.2,11.5,179.4,,46,36.9,114.2,62
19b,20,10-20cmbgs,2,279.13,27.36863664,18.93210916,53.6992542,7.1,18.5,2,2.8,,5.5,2.6,150,0.2,6183.4,4.3,95.8,3518.8,2,8,16,8.6,13343.9,754.7,11.1,505,742.5,32.7,15,12.9,198.4,,45.8,44.6,261,145.6
19c,30,20-30cmbgs,2,279.13,18.57524168,20.19373994,61.23101838,6.9,20.4,1.8,3.3,,4.8,10.9,140.3,0.2,8976,4.4,103.5,3439.5,2.1,8.5,19,9.4,12204.2,939.2,14.4,585.3,766.3,42,16.4,13.2,180.5,,35.4,50.5,308.2,173.6
20a,10,0-10cmbgs,4,281.25,22.39642245,17.67803504,59.92554251,7.1,18.7,2,2.9,,6.9,10.1,155.4,0.2,7835.2,4.3,91,3308.4,1.9,7.8,17.2,8.3,11252.6,929.2,12.2,576,685,29.6,14.8,12.9,205,,45.9,42.8,202,111.5
20b,20,10-20cmbgs,4,281.25,12.3937387,21.42707303,66.17918827,6.7,22.7,1.1,4.1,,8.3,11.2,174.9,0.2,12163.4,4.2,116.2,3224.1,2.4,9.3,24,10.6,14822.5,1298.6,19.5,778.4,833.5,46.8,19.1,14.8,172.6,,42.9,56.7,219.2,121.3
20c,30,20-30cmbgs,4,281.25,19.81723929,20.19565793,59.98710277,6.9,21.7,1.7,3.6,,5.9,9.7,169.6,0.2,7011.9,4,99.2,3271.9,2,8.3,15,8.9,12659.1,723.2,9.9,504.1,781.4,26.5,14.9,13.6,179.6,,37,44.1,281.4,157.7
