Sample Location ,PSORB_10,PSORB_20,PSORB_30,
LF 3 ,379.430853719,396.166134185,,
LF 4,373.678963111,392.454336760,,
LF 5,348.345954564,348.484848485,,
LF 6,316.003079395,340.446749103,,
LF 7,291.014261494,344.965104686,,
LF 8,348.911523867,341.419586703,,
LF 9,350.408610724,322.516424448,,
LF 10,335.061826885,304.215255181,,
LF 11,304.703068952,343.238930993,291.329941135,
LF 12,325.209748302,113.282808137,286.285485806,
LF 13,220.580896297,64.420218038,195.663035875,
LF 14,269.409882519,281.555333998,243.761229786,
LF 15,270.200259042,288.853375949,293.248102277,
LF 16,289.130218193,179.950124688,257.903660118,
LF 17,228.850758180,320.159680639,255.120185543,
LF 18,255.093887335,238.066706611,298.173834947,
LF 19,113.949311515,260.479041916,307.584830339,
LF 20,201.657182789,218.413710642,280.390593862,
LF 21,272.745411014,201.955252446,288.680375324,
LF 22,290.640885079,168.792347549,39.043824701,
LF 23,272.301405362,291.434262948,288.138977636,
LF 24,276.239792870,242.877067145,162.862553573,
LF 25,203.598837117,252.342037074,254.962593516,
LF 26,224.611708483,223.109957056,249.153555069,
LF 27,179.826744997,221.468475658,227.200318598,
LF 28,266.253869969,260.594118286,233.174034249,
LF 29,252.896524171,352.119700748,281.928671050,
LF 30,248.328176465,258.359872611,242.164104612,
LF 31,245.239756754,223.843309683,177.981286084,
LF 32,205.010480088,191.332135011,224.678816851,
LF 33,214.436604769,239.520958084,239.728081576,
LF 34,168.129238133,215.075176740,170.649143767,
LF 35,196.992331441,183.522840614,203.352624227,
LF 36,138.551114655,228.759473474,227.630922693,
LF 37,190.675433353,215.418370400,235.305877649,
LF 38,166.533546326,182.144997004,159.498207885,
LF 39,120.710295291,99.440894569,107.696943904,
LF 40,150.973539690,162.178336326,261.971268955,
LF 41,161.022874838,258.045232639,222.598982747,
LF 42,110.545744787,174.875373878,118.129122526,
LF 43,153.114834935,258.649915246,101.863849297,
LF 44,148.929185804,133.998005982,211.565304088,
LF 45,182.187282266,281.243771178,255.170346688,
LF 46,347.891026338,118.762475050,155.058870485,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
