Sample Location ,SMC10,SMC20,SMC30 
LF 3 ,34.60,28.77,
LF 4,39.50,32.56,
LF 5,31.20,27.31,
LF 6,33.40,31.28,
LF 7,30.30,29.68,
LF 8,38.40,29.35,
LF 9,39.90,34.44,
LF 10,32.80,29.71,
LF 11,33.20,31.15,28.11
LF 12,37.00,31.64,26.05
LF 13,33.00,25.55,25.25
LF 14,32.70,28.15,26.73
LF 15,29.90,27.03,26.33
LF 16,34.20,28.24,28.90
LF 17,34.10,27.24,26.48
LF 18,29.70,28.04,28.73
LF 19,15.10,18.51,20.38
LF 20,18.70,22.67,21.69
LF 21,18.20,18.83,17.87
LF 22,30.70,26.78,24.59
LF 23,30.00,27.47,28.75
LF 24,28.20,27.10,27.38
LF 25,30.00,25.31,26.36
LF 26,23.30,23.41,26.02
LF 27,28.50,27.07,26.53
LF 28,31.80,27.13,26.53
LF 29,29.50,27.71,25.64
LF 30,34.80,34.27,32.21
LF 31,36.80,33.12,29.82
LF 32,35.20,32.58,32.03
LF 33,34.90,28.90,29.33
LF 34,39.30,38.08,35.42
LF 35,38.10,28.58,31.85
LF 36,34.90,31.54,28.25
LF 37,39.10,29.28,29.09
LF 38,38.00,31.38,22.45
LF 39,30.50,28.38,27.25
LF 43,33.90,27.95,25.86
LF 44,64.90,31.32,28.46
LF 45,34.40,30.52,29.05
LF 46,34.60,28.72,28.46
