Sample Location ,WEP_10,WEP_20,WEP_30
LF 3 ,1.848151848,0.848924695,
LF 4,1.258531713,1.738319624,
LF 5,1.328627085,1.229262443,
LF 6,1.848582753,1.969015492,
LF 7,1.938901289,2.108453801,
LF 8,2.379127653,2.228217426,
LF 9,2.247602557,3.007093143,
LF 10,2.168915542,1.608391608,
LF 11,1.969474807,1.827624089,2.629386476
LF 12,2.996404315,2.579484103,2.608000533
LF 13,2.487429656,2.217413018,1.93767479
LF 14,2.707833733,2.2478271,2.7768529
LF 15,2.779536744,2.187666489,2.007791429
LF 16,2.468765617,1.928521467,2.319690708
LF 17,3.538230885,3.048983672,3.23816504
LF 18,3.056943057,2.36834216,1.319120586
LF 19,1.029519558,1.907901309,1.929099753
LF 20,1.749067164,2.008058876,2.367711212
LF 21,3.197761567,2.996204807,2.549745025
LF 22,2.878464819,3.338553294,3.157894737
LF 23,1.568170468,1.249833356,2.158776693
LF 24,1.709316273,1.649725046,1.639344262
LF 25,1.989005497,1.609249017,2.138503048
LF 26,2.307692308,1.839754699,1.349460216
LF 27,1.638689049,2.129148341,2.258644813
LF 28,1.579263011,1.869190018,1.889622076
LF 29,2.259623396,2.107541202,2.038776734
LF 30,2.199706706,2.727636049,3.308786778
LF 31,2.747252747,3.219248842,2.978510745
LF 32,2.298314569,1.738435408,2.028985507
LF 33,1.698924015,1.648186994,1.549277004
LF 34,3.097418818,2.389123988,2.499333511
LF 35,3.617829302,3.078973675,2.598094731
LF 36,1.688592839,1.857956248,1.608070316
LF 37,1.398974086,1.849691718,1.549431875
LF 38,2.586809601,1.979274266,0.849745076
LF 39,1.748775857,1.608123856,1.869252299
LF 40,3.058572666,2.547961631,2.417985012
LF 41,2.409759024,1.539538139,1.638252531
LF 42,3.02818309,3.068056897,3.067137338
LF 43,3.721174791,4.697025217,3.458386086
LF 44,3.4862813,3.707404817,3.256960171
LF 45,2.937356379,3.808730423,1.988753922
LF 46,3.847178736,2.117882118,2.588015855
