Sample ID ,Soil pH,"Soil Moisture Content 
(water content %)","LOI 
(% weight loss)","Water Extractable P
(1:10 ratio)
(mg/kg)","Water Extractable P
(1:100 ratio)
(mg/kg)",Mod M3 P (mg/kg),Mehlich III - P (mg/kg),Total P (mg/kg),"Total Ag
(mg/kg)","Total Al
(mg/kg)","Total As 
(mg/kg)","Total Ba
(mg/kg)","Total Ca
(mg/kg)","Total Cd
(mg/kg)","Total Co
(mg/kg)","Total Cr
(mg/kg)","Total Cu
(mg/kg)","Total Fe
(mg/kg)","Total K
(mg/kg)","Total Li
(mg/kg)","Total Mg
(mg/kg)","Total Mn
(mg/kg)","Total Na
(mg/kg)","Total Ni
(mg/kg)","Total Pb
(mg/kg)","Total S
(mg/kg)","Total Se
(mg/kg)","Total Si
(mg/kg)","Total Zn
(mg/kg)"
LF 1 A 0-0.5,NM,38.55913495,3.008675771,4.929342754,NM,NM,16.26774235,,0.219689774,8635.568017,4.69574842,117.8291269,4022.015261,2.471965192,9.824985147,18.56169721,11.21210488,13279.05959,882.40524,12.24553586,727.3466764,1094.634318,39.43479648,18.51692377,16.30203096,252.4236576,BL,19.20630621,71.6086906
LF 1 B 0-0.5,NM,39.53659615,2.351805147,3.229784681,NM,NM,10.3786857,,0.191399009,6736.14764,4.655211596,113.3371433,4604.260905,2.495858497,9.054956124,16.79065249,10.83873225,13452.57691,881.0765713,10.70626229,674.2017447,1002.981243,33.08338299,15.88087447,24.55448138,253.1770872,BL,25.53802532,82.2363465
LF 1 C 0-0.5,NM,40.98238164,2.811948745,4.409853005,NM,NM,14.27315637,,0.29601916,3466.608735,BL,67.24823837,1688.658381,BL,5.475501245,11.09759663,6.306422488,9251.925532,555.3684787,5.152684583,332.5144283,378.5246469,19.6741278,7.849972568,22.78753973,96.96815536,BL,30.31182124,33.21894005
LF 1 D 0-0.5,NM,40.52470914,3.415440857,5.06864836,NM,NM,5.711407676,,0.174483503,7996.368591,4.865973807,124.1012584,4348.158659,2.240215063,10.20351028,19.1993523,11.44584133,13200.16511,1048.591624,13.07722486,803.2588879,968.4270343,27.31958697,19.27835366,17.68280251,310.2573991,BL,36.33945901,65.08224018
LF 1 E 0-0.5,NM,41.27142339,2.612798685,4.769364085,NM,NM,7.602343708,,0.239012722,7152.573265,3.634641366,108.5649683,3649.223598,2.451079986,9.006681457,17.86917824,10.1327386,13122.62081,870.9828441,11.62258703,676.2132199,910.8547073,33.21578123,15.57559065,23.23958033,196.6275361,BL,25.71225684,70.16413398
LF 2 A 0-0.5,NM,44.65943269,3.045831477,2.66928819,NM,NM,6.155976211,,0.182318736,10494.20087,5.571075628,138.3690331,4934.913465,2.442622743,10.51780565,23.05766272,12.06388562,14488.34395,1182.317792,17.46022133,991.0229531,1003.279298,38.09532918,20.98053141,19.34126394,322.3198851,BL,38.29205836,70.08330093
LF 2 B 0-0.5,NM,40.21992326,2.356759136,3.038885742,NM,NM,6.82464807,,0.165056903,8267.926539,4.963641472,133.9145332,4401.403744,2.373771866,10.4518634,19.33914934,11.2444349,13908.03348,964.4331299,13.12644588,800.3022081,1012.346517,27.90111653,19.65871399,18.70502821,291.8544891,BL,31.4005573,65.10306699
LF 2 C 0-0.5,NM,43.07649335,2.322141154,3.728881336,NM,NM,6.102845144,,0.237173072,7360.791937,5.592974284,110.0995554,3020.463996,2.451712671,8.843562384,16.73425973,9.877979735,13392.02395,822.0815458,11.3062267,603.6033242,806.6569395,28.11159483,14.30948472,24.02103439,191.6472438,BL,29.57450715,53.17691079
LF 2 D 0-0.5,NM,38.7923641,2.556032019,2.262622896,NM,NM,13.71546918,,0.202085516,9672.657283,5.023900185,128.0082612,4212.764498,2.73272676,9.971025962,20.53444084,12.01931491,14030.1843,1175.64329,17.47270962,780.1204336,1070.868902,41.93902513,19.27560183,16.07187815,257.8936768,BL,31.61316876,68.38891399
LF 3 0-10,6.67,34.56433825,3.660813073,2.668265627,40.88569001,4.769205132,7.213268462,,0.23367388,7875.736646,5.595308484,128.1497707,4878.115608,2.475234541,9.630881511,17.24965504,12.38250451,13114.54757,924.0249138,13.44212761,663.8086966,974.4683203,35.00967393,18.16414907,16.1153568,318.6447376,BL,28.72791701,60.51359493
LF 4 0-10,NM,39.48283447,3.004820133,4.568477174,NM,7.688462308,12.65947817,,0.176382279,7497.295144,4.426121052,114.2248428,4124.925974,2.335333501,9.300777121,15.09519098,11.66351663,13013.83232,896.3783568,10.45042417,597.0434743,923.6086887,25.25669756,16.64348005,15.03114323,260.8460004,BL,31.0461924,53.89487532
LF 5 0-10,6.85,31.18239872,3.547287601,3.318230277,34.2879992,4.628919919,9.547719941,,0.189729692,6200.930718,4.724305894,115.319307,4787.026119,2.385245363,8.988251934,15.03549393,11.01533149,13453.58917,857.879428,10.07335481,587.0990732,946.164162,25.12707701,14.99048705,24.26277951,323.4645402,BL,33.37118339,54.88299362
LF 6 0-10,NM,33.37831513,2.902146399,2.229702706,NM,NM,11.65828868,,BL,4571.591282,BL,103.7923361,4334.769095,BL,8.002575894,12.56809425,9.29511623,13138.75091,820.0531328,6.487655903,498.7178444,887.3124888,20.43927402,11.93805536,30.64378391,370.7581439,BL,22.83377511,46.91327378
LF 7 0-10,NM,30.32943984,2.94325205,4.599233461,NM,5.49890022,8.158709258,,0.209631463,9216.518101,5.105657228,125.0408946,4238.396282,2.545941441,9.852779302,17.18143492,11.69341393,14264.66216,937.5060869,13.49664668,675.4918939,991.4472283,31.17285207,17.79464465,15.45793251,290.7915155,BL,32.60116121,59.0228695
LF 8 0-10,6.61,38.36831289,3.298437509,3.538820393,48.58542437,8.419158084,16.32711339,,0.186374133,7124.037075,5.019559659,121.2558827,3865.261011,2.642801427,9.5488546,16.82333977,11.15594978,14541.68372,1032.693431,11.91589793,651.3110049,984.3840986,28.5507479,16.58783962,25.19650069,280.1069082,BL,28.79637422,59.83866582
LF 9 0-10,NM,39.8673608,3.023836046,4.029194161,NM,12.94870513,13.48955926,,0.198070795,9413.924368,5.337465344,123.5909025,4411.329712,2.569849402,9.6661185,20.19176081,11.97227918,13511.89705,1321.729561,17.24199681,800.8510363,914.1712632,36.56510612,18.9333571,74.9631531,303.6132192,BL,28.59521602,64.64349225
LF 10 0-10,NM,32.80628724,3.042771527,2.57939814,43.28917771,8.188089446,9.433726222,,0.254770275,8238.504606,4.815655753,132.8024328,4976.824099,2.742867543,9.694369435,17.44541742,11.05493815,13545.81666,996.9519301,14.62497136,690.4568922,1230.962864,37.25058231,18.10574866,15.48635687,283.1118179,BL,27.81819267,64.0263391
LF 11 0-10,NM,33.19104308,2.686725702,2.049316894,NM,NM,13.0480927,,BL,4051.629549,BL,86.77136669,3590.159166,BL,6.801871967,11.01029275,7.587043234,11049.26411,708.1984136,5.918167671,429.1643636,761.3841567,19.98165877,9.589296243,26.49080368,261.52211,BL,24.14324322,38.26064028
LF 12 0-10,NM,37.01951406,3.414065866,4.638917586,41.69583042,10.63893611,19.77220512,,0.198139535,8454.821214,5.100922103,127.2033413,4260.865458,2.437340279,9.379351318,18.03538133,11.77616768,13343.28029,1013.108009,14.8771634,713.3786893,877.5300647,34.87846361,17.79488514,16.13829201,266.0720714,BL,29.23861419,53.35869162
LF 13 0-10,NM,32.94958417,2.920556791,3.509415097,NM,12.58874113,11.60965108,,0.21042017,8373.64102,4.780835666,112.8018739,3860.544613,2.297247724,8.84028881,15.73640092,10.08391164,12956.12426,972.0426289,11.8988491,611.5850548,860.0545964,26.61251249,15.83231431,14.60728487,253.5202354,BL,30.99069478,50.53457298
LF 14 0-10,NM,32.68644385,3.034287003,2.668487857,44.77761119,10.30828195,19.04370773,,0.174039344,7318.63851,5.453382491,120.2555257,4014.156938,2.438309841,8.920597158,15.82587784,10.57862442,14054.94682,919.7320413,11.36625109,605.6410376,880.3171452,28.39338844,14.84211007,25.02679286,292.4474342,BL,43.29834221,55.02992775
LF 15 0-10,6.55,29.92177671,2.45396721,4.729054189,NM,7.729484701,11.82137359,,0.152948673,6046.956043,4.474230145,106.1619884,3713.824885,2.023402496,8.061276899,13.85386582,9.50896802,11056.77651,742.0362157,9.51798885,536.5751644,784.8172469,24.38046451,14.6671595,14.05049964,252.0075186,BL,31.48127645,45.57424493
LF 16 0-10,NM,34.22769987,2.820772662,3.008094873,53.57856857,12.28877112,11.39562161,,0.210130547,6151.489746,4.934589557,108.7557586,3481.348047,2.341513129,8.277002095,13.78127485,9.753342412,13170.06736,855.0393854,9.11810281,539.2940827,948.9329346,23.44471474,13.57010917,22.16244704,248.9191542,BL,43.48586107,54.60206222
LF 17 0-10,6.46,34.10146216,3.148487766,5.046635576,NM,9.8,10.2797481,,0.186844432,7506.941517,5.091106347,109.4900283,3805.125278,2.247390711,8.535090052,14.63928147,10.02832891,12352.37886,886.0429886,10.79653454,582.940473,871.2187838,24.50381819,15.29536021,14.07389507,259.8906965,BL,31.01000823,52.38054235
LF 18 0-10,6.43,29.73893167,2.229145773,4.43718978,42.08527016,10.9481753,14.79188487,,0.171959196,8641.884663,4.740034769,117.0775998,3016.819382,2.346321817,8.95252329,19.54828047,11.48482717,12503.90255,1034.856584,15.45268326,666.2794473,775.7550177,33.31893666,17.42837159,16.9538461,166.9754501,BL,49.95332761,53.68883408
LF 19 0-10,6.86,15.10669175,1.264011036,2.508244229,28.58570715,4.899183469,1.237343776,,0.158133283,5513.306321,3.8366512,83.14033898,3041.338022,1.751236549,7.237591472,14.75102061,7.35734289,10733.10885,660.565198,9.243069493,446.3288877,644.9770434,26.44182956,13.16016908,11.54024969,179.3866007,BL,45.99713377,36.86143115
LF 20 0-10,7.11,18.70846328,2.041592696,2.937356379,NM,6.899310069,10.12207818,,0.191363333,7835.235028,4.285919692,91.01704337,3308.429598,1.896714954,7.7672881,17.18463362,8.335085288,11252.60453,929.2242383,12.23724671,576.0479912,685.0208985,29.63284421,14.83793114,12.86539298,204.9640563,BL,45.85839163,42.84826187
LF 21 0-10,6.47,18.19331998,3.163415407,4.879186802,NM,6.93,12.51156948,,0.146917959,9570.645549,3.922160775,104.7455682,4251.209378,2.02755067,8.108856707,18.00443873,9.151881036,12399.54275,1106.460999,14.27050689,674.9228834,765.0584492,32.51121537,14.93872994,13.53529587,290.6221533,BL,32.38189858,49.66572491
LF 22 0-10,NM,30.7445923,2.43780545,3.569524063,NM,8.46,13.25483989,,0.234952052,8166.851917,5.124489227,125.9441107,3774.950804,2.569142945,9.688016378,16.50029731,11.22588435,14771.99394,908.3211575,12.40411933,616.5963507,1211.782462,28.47120144,17.9068415,16.17817079,218.023036,BL,38.38742483,60.40935086
LF 23 0-10,NM,29.98288771,2.209068463,1.968490824,33.39332134,6.149180109,6.616538346,,0.189859283,6685.917357,4.147116318,91.56896736,3492.771762,1.809641387,7.715069058,13.59441942,7.967905552,11543.29621,721.9425011,9.479770897,496.3985369,735.7232753,24.86228958,13.16584456,12.60049268,174.8004117,BL,53.89921581,37.33456025
LF 24 0-10,NM,28.1956991,2.373503736,2.338986439,35.19648035,6.429142781,10.38453873,,0.202263304,7114.54028,3.72555956,96.58026144,3798.334995,1.887997965,7.891582935,14.06511879,8.265350607,12400.56304,711.4293241,9.484937224,495.3897457,757.1669292,27.02136242,13.75338682,12.5898291,206.7155819,BL,42.97675762,40.52329235
LF 25 0-10,NM,29.9729783,2.834797965,1.899620076,NM,NM,8.209758048,,BL,4658.695918,BL,108.4163802,3947.78616,BL,7.774254408,12.94843036,9.585436168,13249.30318,672.4072832,6.313815724,469.3660137,869.2505506,22.00037596,12.14125891,31.25796753,328.1804387,BL,31.8042284,46.63980183
LF 26 0-10,NM,23.27657202,2.418838173,2.709096968,41.98530514,8.929107089,7.354051084,,0.137536007,8027.367261,4.041680774,90.26437591,3551.555271,1.77496769,6.849355062,17.12988786,8.233485246,11839.80154,930.056037,11.12493991,566.7453365,599.5393684,26.52102802,14.62896117,12.75009343,207.3089625,BL,64.01903898,38.49728795
LF 27 0-10,NM,28.48992041,2.317001772,1.97934022,NM,NM,7.620001998,,BL,4691.387058,BL,91.40772976,2953.095538,1.058544781,6.649930334,11.93413386,7.71609861,11449.92978,691.0048487,7.155323246,456.371593,751.5937008,22.25051712,10.62334106,26.64658341,192.7746596,BL,17.94346635,43.73038852
