Samp_ID ,Samp_Loc,Latitude,Longitude,UID,Depth,Unit,Area,Elev,Soil_Type,SandPD,ClayPD,SiltPD,pH_soil,SMC,LOI,WEP_2024,WEP_2025,WEP100,MM3P,M3P,TP,Ag_tot,Al_tot,As_tot,Ba_tot,Ca_tot,Cd_tot,Co_tot,Cr_tot,Cu_tot,Fe_tot,K_tot,Li_tot,Mg_tot,Mn_tot,Na_tot,Ni_tot,Pb_tot,S_tot,Se_tot,Si_tot,Zn_tot
LF 1 A 0-0.5,LF 1 A,36.107767,-94.560067,1Aa,0.5,feet,1,922,,,,,,38.56,3.01,4.93,2.2,,,16.27,477.68,0.22,8635.57,4.7,117.83,4022.02,2.47,9.82,18.56,11.21,13279.06,882.41,12.25,727.35,1094.63,39.43,18.52,16.3,252.42,<PQL,19.21,71.61
LF 1 A 0.5-1.0,LF 1 A,36.107767,-94.560067,1Ab,1,feet,1,,,,,,,29.28,1.05,2.64,2.14,,,15.71,387.42,0.14,5061.9,3.26,80.22,2206.69,1.7,7.43,14.09,7.44,9529.04,503.55,6.24,427.61,538.79,23.66,12.64,14.47,101.14,<PQL,36.74,45.13
LF 1 B 0-0.5,LF 1 B,36.107767,-94.560033,1Ba,0.5,feet,1,920,,,,,,39.54,2.35,3.23,2.09,,,10.38,361.26,0.19,6736.15,4.66,113.34,4604.26,2.5,9.05,16.79,10.84,13452.58,881.08,10.71,674.2,1002.98,33.08,15.88,24.55,253.18,0,25.54,82.24
LF 1 B 0.5-1.0,LF 1 B,36.107767,-94.560033,1Bb,1,feet,1,,,,,,,29.25,1.38,3.33,2.47,,,8.05,367.01,0.3,4717.49,2.57,83.87,2793.1,1.41,6.93,13.35,8.02,10662.13,630.8,6.89,453.44,613.95,24.83,10.97,23.25,135.29,0,31.95,57
LF 1 C 0-0.5,LF 1 C,36.107783,-94.5602,1Ca,0.5,feet,1,920,,,,,,40.98,2.81,4.41,2.96,,,14.27,376.83,0.3,3466.61,0,67.25,1688.66,0,5.48,11.1,6.31,9251.93,555.37,5.15,332.51,378.52,19.67,7.85,22.79,96.97,0,30.31,33.22
LF 1 C 0.5-1.0,LF 1 C,36.107783,-94.5602,1Cb,1,feet,1,,,,,,,30.91,1.64,4.01,2.27,,,9.94,344.2,0.21,5819.93,4.89,92.98,3285.88,2.03,7.73,14.37,8.56,11175.84,607.16,7.61,510.61,763.21,26.37,12.72,19.38,181.62,0,31.09,54.11
LF 1 D 0-0.5,LF 1 D,36.107783,-94.56,1Da,0.5,feet,1,915,,,,,,40.52,3.42,5.07,3.59,,,5.71,278.38,0.17,7996.37,4.87,124.1,4348.16,2.24,10.2,19.2,11.45,13200.17,1048.59,13.08,803.26,968.43,27.32,19.28,17.68,310.26,<PQL,36.34,65.08
LF 1 D 0.5-1.0,LF 1 D,36.107783,-94.56,1Db,1,feet,1,,,,,,,33.63,1.09,3.26,1.83,,,11.71,258.77,0.13,9679.93,2.26,82.05,1932.58,1.67,7.05,25.43,7.7,9905.29,1175.26,13.76,751.87,425.74,45.38,14.64,15.46,89.27,<PQL,52.4,47.12
LF 1 E 0-0.5,LF 1 E,36.1078,-94.560067,1Ea,0.5,feet,1,913,,,,,,41.27,2.61,4.77,1.62,,,7.6,525.85,0.24,7152.57,3.63,108.56,3649.22,2.45,9.01,17.87,10.13,13122.62,870.98,11.62,676.21,910.85,33.22,15.58,23.24,196.63,0,25.71,70.16
LF 1 E 0.5-1.0,LF 1 E,36.1078,-94.560067,1Eb,1,feet,1,,,,,,,31.62,1.99,3.82,2.59,,,10.43,348.59,0.25,7182.88,4.46,106.45,3355.38,2.52,8.92,17.74,10.13,13444.23,874.6,11.14,655.17,874.78,31.04,14.93,25.39,176.9,0,31.05,69.1
