DEPTH,AREA,ELEV,SAND_P,CLAY_P,SILT_P,pH,SMC,LOI,WEP,WEP100,MM3,M3,TP,AG,AL,AS,BA,CA,CD,CO,CR,CU,FE,K,LI,MG,MN,NA,NI,PB,S,SE,SI,ZN,P_sorb,PSI
10,1,279.7,,,,,38.6,3,4.9,,,16.3,477.7,0.2,8635.6,4.7,117.8,4022,2.5,9.8,18.6,11.2,13279.1,882.4,12.2,727.3,1094.6,39.4,18.5,16.3,252.4,,19.2,71.6,,
30,1,279.7,,,,,29.3,1.1,2.6,,,15.7,387.4,0.1,5061.9,3.3,80.2,2206.7,1.7,7.4,14.1,7.4,9529,503.6,6.2,427.6,538.8,23.7,12.6,14.5,101.1,,36.7,45.1,,
10,1,279.8,,,,,39.5,2.4,3.2,,,10.4,361.3,0.2,6736.1,4.7,113.3,4604.3,2.5,9.1,16.8,10.8,13452.6,881.1,10.7,674.2,1003,33.1,15.9,24.6,253.2,,25.5,82.2,,
30,1,279.8,,,,,29.3,1.4,3.3,,,8,367,0.3,4717.5,2.6,83.9,2793.1,1.4,6.9,13.4,8,10662.1,630.8,6.9,453.4,613.9,24.8,11,23.3,135.3,,31.9,57,,
10,1,279.6,,,,,41,2.8,4.4,,,14.3,376.8,0.3,3466.6,,67.2,1688.7,,5.5,11.1,6.3,9251.9,555.4,5.2,332.5,378.5,19.7,7.8,22.8,97,,30.3,33.2,,
30,1,279.6,,,,,30.9,1.6,4,,,9.9,344.2,0.2,5819.9,4.9,93,3285.9,2,7.7,14.4,8.6,11175.8,607.2,7.6,510.6,763.2,26.4,12.7,19.4,181.6,,31.1,54.1,,
10,1,279.8,,,,,40.5,3.4,5.1,,,5.7,278.4,0.2,7996.4,4.9,124.1,4348.2,2.2,10.2,19.2,11.4,13200.2,1048.6,13.1,803.3,968.4,27.3,19.3,17.7,310.3,,36.3,65.1,,
30,1,279.8,,,,,33.6,1.1,3.3,,,11.7,258.8,0.1,9679.9,2.3,82,1932.6,1.7,7,25.4,7.7,9905.3,1175.3,13.8,751.9,425.7,45.4,14.6,15.5,89.3,,52.4,47.1,,
10,1,279.7,,,,,41.3,2.6,4.8,,,7.6,525.9,0.2,7152.6,3.6,108.6,3649.2,2.5,9,17.9,10.1,13122.6,871,11.6,676.2,910.9,33.2,15.6,23.2,196.6,,25.7,70.2,,
30,1,279.7,,,,,31.6,2,3.8,,,10.4,348.6,0.3,7182.9,4.5,106.4,3355.4,2.5,8.9,17.7,10.1,13444.2,874.6,11.1,655.2,874.8,31,14.9,25.4,176.9,,31.1,69.1,,
10,1,281.1,,,,,44.7,3,2.7,,,6.2,245.1,0.2,10494.2,5.6,138.4,4934.9,2.4,10.5,23.1,12.1,14488.3,1182.3,17.5,991,1003.3,38.1,21,19.3,322.3,,38.3,70.1,,
