ID,Depth,Area,SMC,LOI,WEP1_10,WEP1_100,Ag,Al,As,Ba,Ca,Cd,Co,Cr,Cu,Fe,K,Li,Mg,Mn,Na,Ni,Pb,S,Se,Si,Zn
LF 3 ,10,1,34.56433825,3.660813073,2.668265627,40.88569001,0.234047758,7888.337824,5.604260978,128.3548104,4885.920593,2.479194916,9.646290922,17.27725448,12.40231652,13135.53085,925.5033537,13.46363502,664.8707905,976.0274697,35.0656894,18.19321171,16.14114137,319.1545692,<PQL,28.77388168,60.61041669
LF 3 ,20,1,28.77400783,2.325225011,,,,,,,,,,,,,,,,,,,,,,,
LF 4,10,1,39.48283447,3.004820133,4.568477174,,0.176699767,7510.790275,4.43408807,114.4304475,4132.350841,2.339537101,9.31751852,15.12236233,11.68451096,13037.25722,897.9918378,10.46923493,598.1181525,925.2711844,25.30215962,16.67343831,15.05819929,261.3155232,<PQL,31.10207554,53.99188609
LF 4,20,1,32.56069434,2.260545135,5.678107298,,0.187055178,7390.744499,5.28601843,127.8270725,3608.083197,2.680520818,10.4510544,16.72756017,12.61928539,14389.91472,965.1574532,11.79654431,639.0619485,1066.901936,26.4493005,18.40703408,17.13656738,201.5489376,<PQL,29.37027774,63.82825519
LF 5,10,1,31.18239872,3.547287601,3.318230277,34.2879992,0.190071206,7376.478977,4.591432844,117.7622553,4788.247533,2.389538804,9.276485866,16.43195906,11.77329358,12454.85701,923.4983616,12.70059842,638.8313452,910.774712,28.25135502,17.12157379,15.05040426,306.2876162,<PQL,34.06965705,56.09456245
LF 5,20,1,27.30713864,2.664890609,4.548938581,,0.223592116,8368.353111,4.950707179,120.6696797,4254.779256,2.55526594,9.576484852,18.42715842,11.62506384,13123.67868,992.6078537,14.7070202,680.190165,958.1104943,32.41476439,18.04678782,15.83310402,263.1421292,<PQL,34.83579383,59.99163307
LF 6,10,1,33.37831513,2.902146399,,,,,,,,,,,,,,,,,,,,,,,
LF 6,20,1,31.28460339,2.789402554,2.969406119,,0.176765576,7728.000719,4.615793629,119.1604954,4022.380835,2.391510382,9.557517814,17.2641722,10.77711911,13002.86567,917.2804078,13.33616104,642.2323605,932.1603757,30.7480776,17.31511153,15.34004542,225.0412487,<PQL,28.0822863,53.68356324
LF 7,10,1,30.32943984,2.94325205,4.599233461,,0.209841094,9225.734619,5.110762886,125.1659355,4242.634678,2.548487383,9.862632082,17.19861636,11.70510734,14278.92682,938.443593,13.51014333,676.1673858,992.4386756,31.20402492,17.8124393,15.47339044,291.082307,<PQL,32.63376238,59.08189237
LF 7,20,1,29.67710968,2.372010785,4.958347218,,0.23108246,9189.0719,5.796966727,134.473421,3538.946539,2.94587194,10.41740343,19.77346442,12.47744243,14358.76972,1015.843345,15.94367933,726.0748315,1319.812045,36.00228354,19.25956613,17.99997979,204.0709717,<PQL,29.66514767,70.60039002
LF 8,10,1,38.36831289,3.298437509,3.538820393,48.58542437,0.186485957,9340.400741,5.409513219,129.1653688,3944.79691,2.644387108,10.28716605,20.13814977,12.18266695,14172.22698,1218.388449,16.84562757,775.5603964,983.6231239,35.41488052,19.85385507,16.57969738,255.5151852,<PQL,32.36667725,64.39224145
LF 8,20,1,29.34728277,2.274322655,3.417493838,,0.257909966,10663.00937,5.686696694,136.040154,3529.553156,2.931228404,11.2158888,22.8340076,12.81324702,15421.08839,1328.393524,19.51779051,849.3878822,1157.643344,40.7617421,21.1895907,18.71221487,219.8401019,<PQL,31.2062945,71.95109954
LF 9,10,1,39.8673608,3.023836046,4.029194161,,0.198466937,9432.752217,5.348140274,123.8380843,4420.152371,2.574989101,9.685450737,20.23214433,11.99622374,13538.92084,1324.37302,17.2764808,802.4527383,915.9996057,36.63823634,18.97122382,75.11307941,304.2204457,<PQL,28.65240645,64.77277924
LF 9,20,1,34.43766245,1.646660092,7.277816655,,0.153622325,8066.501513,3.86760216,90.09039418,2224.565135,2.150305872,8.515109584,16.69959058,9.995923061,12308.55929,796.4956623,10.97266011,564.5625526,586.1042456,25.04674246,12.8813997,16.51506078,126.0526586,<PQL,26.36427503,45.95544241
LF 10,10,1,32.80628724,3.042771527,2.57939814,43.28917771,0.254872183,8241.800008,4.817582016,132.8555538,4978.814829,2.74396469,9.698247182,17.45239559,11.05936013,13551.23499,997.3507108,14.63082135,690.733075,1231.455249,37.26548255,18.11299096,15.49255141,283.2250626,<PQL,27.82931995,64.05194964
LF 10,20,1,29.71280908,2.169723578,2.179564087,,0.131094768,6198.06166,4.196652275,103.8827335,2705.117758,2.074840434,8.304828235,13.49739582,8.395227948,11620.46823,673.5973113,8.483096873,491.1326284,462.1895357,30.47087823,13.3201395,15.45440281,84.7980685,<PQL,34.80540779,35.30285928
LF 11,10,3,33.19104308,2.686725702,,,,,,,,,,,,,,,,,,,,,,,
LF 11,20,3,31.14850574,2.526465545,2.699190243,,0.196858059,6920.279331,5.012450939,108.4379451,3646.342088,2.392527387,8.842831231,15.61931894,9.452056198,11899.90645,900.2715637,11.75163707,576.9703739,904.0867774,28.23196663,15.8329832,13.90795528,211.3165203,<PQL,31.42565816,57.80474058
LF 11,30,3,28.1128431,2.154387001,2.828679949,,0.17752941,7095.883837,4.451867698,105.6412737,3035.568407,2.293327375,8.87513799,15.44567364,9.519553347,12171.76102,803.298029,10.25960089,530.1559122,862.2332831,27.56789834,15.70499778,15.12238972,154.6607108,<PQL,44.33899507,51.65613824
LF 12,10,3,37.01951406,3.414065866,4.638917586,41.69583042,0.198377302,8464.966999,5.10704321,127.3559853,4265.978497,2.440265088,9.390606539,18.05702379,11.79029908,13359.29223,1014.323738,14.895016,714.2347438,878.5831008,34.92031777,17.81623901,16.15765797,266.3913578,<PQL,29.27370053,53.42272205
LF 12,20,3,31.63685446,2.744275476,,,,,,,,,,,,,,,,,,,,,,,
LF 12,30,3,26.05061801,2.639355272,,,,,,,,,,,,,,,,,,,,,,,
LF 13,10,3,32.94958417,2.920556791,3.509415097,,0.210756842,8387.038846,4.788485003,112.9823569,3866.721484,2.300923321,8.854433272,15.76157916,10.1000459,12976.85406,973.5978971,11.91788726,612.5635909,861.4306838,26.65509251,15.85764602,14.63065652,253.9258677,<PQL,31.0402799,50.6154283
LF 13,20,3,25.54579168,2.496373892,2.669021359,,0.229442881,8390.374683,5.579694254,120.7449567,3283.277416,2.706688173,9.929066386,17.22143544,10.92451442,13812.58057,938.3199329,12.46615743,606.1063164,1022.531311,30.08120167,17.35024727,17.12418609,188.0663058,<PQL,65.81751964,63.4597609
LF 13,30,3,25.24756213,2.046667026,,,,,,,,,,,,,,,,,,,,,,,
LF 14,10,3,32.68644385,3.034287003,2.668487857,44.77761119,0.174283,9703.387395,5.228697219,125.0568596,3984.905144,2.441723474,9.282279398,18.39628555,11.29057494,13633.83537,1065.478392,15.58061003,694.6058272,855.1720708,34.24857812,17.45451493,15.93622195,262.6875848,<PQL,52.55015817,56.83262926
LF 14,20,3,28.15079947,2.271378884,2.578281146,,0.190503591,9554.898187,4.429979141,122.0589595,3137.020787,2.495555944,9.58878351,18.63482702,11.05280464,14732.29525,948.2187811,14.24995633,656.8253512,835.3078986,36.12796827,17.52406983,17.14254888,157.9936499,<PQL,269.8999757,55.54464093
LF 14,30,3,26.72515653,1.940565205,2.979106268,,0.167717684,6127.096957,3.874966621,91.85044061,2193.168046,1.908674486,7.537436066,13.67273997,9.039808557,11682.19079,596.5306164,7.860752213,432.8143294,521.2815562,21.21027874,12.69036419,18.81334347,110.8199988,<PQL,48.67304809,39.19663948
LF 15,10,3,29.92177671,2.45396721,4.729054189,,0.153009853,6049.374825,4.476019838,106.2044532,3715.310415,2.024211857,8.06450141,13.85940737,9.512771608,11061.19922,742.3330302,9.521796046,536.7897945,785.1311738,24.3902167,14.67302636,14.05611984,252.1083216,<PQL,31.49386896,45.59247463
LF 15,20,3,27.03324345,1.947182966,3.548580568,,0.171614774,6134.758868,4.308658672,109.2095864,2579.33246,2.239019042,8.811488944,14.55149002,9.509937705,12219.75674,660.6884303,8.684073356,499.6418342,810.4870954,23.21036476,15.02152551,15.78185313,128.0252311,<PQL,28.11322308,46.36870657
LF 15,30,3,26.33229021,1.766388479,3.307464277,,0.121858882,5063.707481,3.444978022,86.00940112,1961.856849,1.798612699,7.18103514,12.96115049,7.842366034,9687.545724,538.1619534,7.179713901,403.9393246,484.8631755,20.44647712,12.42259319,14.11611657,92.64893158,<PQL,21.51820515,35.67284092
LF 16,10,3,34.22769987,2.820772662,3.008094873,53.57856857,0.210382704,7759.451473,4.940511064,114.0132908,3543.985759,2.344322945,8.74655337,15.3017056,10.47908669,13325.55131,923.3762429,11.67265516,594.4704379,935.3068064,27.16477042,15.77112328,14.65212083,230.8975782,<PQL,54.64562703,56.0063545
LF 16,20,3,28.23568244,2.190324118,4.737473348,,0.213838136,6724.290612,4.736884797,115.6338085,2885.486586,2.45787115,9.630624785,15.71127289,10.29556101,13206.6646,805.1477298,9.697544258,566.1083284,945.4342668,24.19747328,16.15841664,16.48459838,140.2632166,<PQL,29.61308377,51.42345832
LF 16,30,3,28.90263487,1.931118142,,,,,,,,,,,,,,,,,,,,,,,
LF 17,10,3,34.10146216,3.148487766,5.046635576,,0.187180752,7520.454012,5.100270338,109.6871104,3811.974504,2.251436015,8.550453214,14.66563218,10.04637991,12374.61314,887.637866,10.8159683,583.9897658,872.7869776,24.54792506,15.32289186,14.09922808,260.3584998,<PQL,31.06582624,52.47482733
LF 17,20,3,27.23548351,2.084674528,5.368031722,,0.227368094,7828.265797,4.433422599,114.0873269,2758.494654,2.445202452,9.299222334,17.48978273,10.11415369,13055.38183,994.531731,13.20051987,635.7924549,951.3501703,27.36635871,17.14275796,15.71545399,140.743607,<PQL,22.1273976,53.35196928
LF 17,30,3,26.48474399,2.024865533,4.336675216,,0.190460952,8117.20808,4.663883085,117.15246,2662.904627,2.416813076,9.311971348,18.84671124,9.982943642,12625.5858,1051.586508,14.26528944,657.8277195,917.7540992,29.61642169,17.60199712,15.87933576,128.846783,<PQL,25.75438229,51.91758384
LF 18,10,3,29.73893167,2.229145773,4.43718978,42.08527016,0.172096763,8648.798171,4.743826797,117.1712619,3019.232838,2.348198874,8.959685309,19.56391909,11.49401503,12513.90567,1035.684469,15.46504541,666.8124709,776.3756217,33.34559181,17.44231429,16.96740918,167.1090305,<PQL,49.99329027,53.73178515
LF 18,20,3,28.04027091,1.687870147,3.217961957,,0.15097194,7930.410733,4.445831514,102.6076226,2386.70955,2.067895351,8.395085264,16.37046239,9.301224379,12199.52633,751.6280986,11.26283466,520.2177358,614.6546299,26.41229996,15.13870355,15.88515883,114.538813,<PQL,48.15758888,43.57062473
