Sample ID ,Soil pH,"Soil Moisture Content 
(water content %)","LOI 
(% weight loss)","Water Extractable P
(1:10 ratio)
(mg/kg)","Water Extractable P
(1:100 ratio)
(mg/kg)",Mod M3 P (mg/kg),Mehlich III - P (mg/kg),Total P (mg/kg),"Total Ag
(mg/kg)","Total Al
(mg/kg)","Total As 
(mg/kg)","Total Ba
(mg/kg)","Total Ca
(mg/kg)","Total Cd
(mg/kg)","Total Co
(mg/kg)","Total Cr
(mg/kg)","Total Cu
(mg/kg)","Total Fe
(mg/kg)","Total K
(mg/kg)","Total Li
(mg/kg)","Total Mg
(mg/kg)","Total Mn
(mg/kg)","Total Na
(mg/kg)","Total Ni
(mg/kg)","Total Pb
(mg/kg)","Total S
(mg/kg)","Total Se
(mg/kg)","Total Si
(mg/kg)","Total Zn
(mg/kg)"
LF 3 10-20,NM,28.77400783,2.325225011,1.789880675,NM,NM,8.825445729,,BL,5610.839244,4.759644693,125.0490674,3049.650916,BL,8.374179666,14.91860846,11.34044367,15066.27141,720.4999498,7.957134894,515.6895268,967.7047813,26.7525845,12.82456759,38.03858311,264.8643141,BL,26.20306409,49.95918631
LF 4 10-20,6.55,32.56069434,2.260545135,5.678107298,NM,12.73830156,20.55367614,,0.186793667,6070.303351,5.27862835,121.4880229,3492.517996,2.676773335,9.670730211,14.99482819,11.38830281,14708.26413,899.231731,9.284870008,574.1556568,1058.632659,23.31018056,15.77366655,26.48127859,225.7249324,BL,26.32718682,61.0601082
LF 5 10-20,NM,27.30713864,2.664890609,4.548938581,NM,6.389361064,10.49191769,,0.223413385,8361.66378,4.946749779,120.5732211,4251.378154,2.553223361,9.568829788,18.41242848,11.61577123,13113.18813,991.8144022,14.69526399,679.6464478,957.3446186,32.38885331,18.03236193,15.82044766,262.9317838,BL,34.80794747,59.94367812
LF 6 10-20,NM,31.28460339,2.789402554,2.969406119,NM,9.529682344,8.767232143,,0.17641275,7712.575568,4.606580468,118.9226501,4014.352131,2.386736908,9.538440932,17.22971277,10.75560789,12976.91185,915.4495088,13.30954196,640.9504596,930.2997761,30.68670419,17.28055043,15.30942657,224.5920646,BL,28.02623384,53.57641042
LF 7 10-20,NM,29.67710968,2.372010785,4.958347218,NM,16.0289314,12.99078461,,0.230897742,9181.726518,5.792332861,134.3659282,3536.117645,2.943517126,10.40907617,19.75765829,12.46746846,14347.29188,1015.03132,15.93093459,725.494436,1318.75704,35.97350474,19.24417079,17.98559132,203.9078454,BL,29.64143452,70.54395486
LF 8 10-20,6.32,29.34728277,2.274322655,3.417493838,NM,9.818690841,10.93399507,,0.257652313,10652.35702,5.681015678,135.9042498,3526.027128,2.928300104,11.20468411,22.81119641,12.80044657,15405.68271,1327.066458,19.49829222,848.5393428,1156.486857,40.72102108,21.16842228,18.69352135,219.6204814,BL,31.17511938,71.87922032
LF 9 10-20,NM,34.43766245,1.646660092,7.277816655,NM,21.91634728,76.38413811,,0.153499525,8060.05347,3.864510551,90.01837948,2222.786905,2.148587003,8.508302942,16.68624158,9.987932715,12298.72031,795.8589751,10.963889,564.1112635,585.635737,25.02672109,12.87110282,16.5018593,125.9518971,BL,26.34320047,45.91870744
LF 10 10-20,NM,29.71280908,2.169723578,2.179564087,NM,6.269582028,6.880692574,,0.130963804,5184.662401,4.192459815,98.23446879,2619.790118,2.072767666,7.714142833,12.30344799,7.888786544,11817.51602,646.674217,6.806266734,444.3076069,442.7429264,27.85376038,11.16016555,22.52431815,94.83495094,BL,25.94034395,33.21789228
LF 11 10-20,NM,31.14850574,2.526465545,2.699190243,NM,14.78802826,9.655988273,,0.196465129,6906.466398,5.002446047,108.2215021,3639.06396,2.387751883,8.825180869,15.58814265,9.433189819,11876.15414,898.4746145,11.72818071,575.8187365,902.282213,28.1756154,15.80138044,13.88019489,210.8947308,BL,31.36293229,57.68936186
LF 12 10-20,NM,31.63685446,2.744275476,2.339688042,NM,NM,15.32928814,,BL,6382.691917,BL,123.6190254,3692.253765,BL,8.943465046,15.99039026,10.57849745,16421.37761,892.4601851,9.865961925,607.6392737,931.7996112,28.97666678,14.26648533,37.89258134,268.7727158,BL,29.24950545,55.31870735
LF 13 10-20,NM,25.54579168,2.496373892,2.669021359,NM,10.4789521,13.78972103,,0.22916788,6666.791719,5.573006646,112.5830971,3158.830145,2.70344404,9.150632198,15.33911982,10.03649385,13981.15639,860.217489,9.854125396,544.0544992,1007.837924,26.42102071,14.6267541,24.65820701,196.8629213,BL,50.25511032,60.42976561
LF 14 10-20,NM,28.15079947,2.271378884,2.578281146,NM,12.77957401,10.65016,,0.190009566,6790.195784,4.418491064,111.0801908,2927.76814,2.489084324,8.616006413,15.19005616,9.834888041,13750.13437,783.8632836,9.754186582,534.683125,811.9722026,27.26575919,14.10669152,24.36448004,164.2493884,BL,150.6097722,49.30219923
LF 15 10-20,6.19,27.03324345,1.947182966,3.548580568,NM,13.68908739,13.6235059,,0.171477592,6129.854984,4.3052145,109.1222886,2577.270644,2.237229259,8.804445387,14.53985813,9.502335836,12209.98875,660.160302,8.677131651,499.2424402,809.839224,23.19181131,15.0095179,15.76923774,127.9228928,BL,28.09075048,46.33164126
LF 16 10-20,6.41,28.23568244,2.190324118,4.737473348,NM,10.77856286,9.324231923,,0.213624511,6717.573039,4.732152644,115.5182902,2882.603982,2.455415734,9.621003781,15.69557731,10.28527573,13193.47113,804.3433864,9.687856402,565.5427856,944.489777,24.17329998,16.14227437,16.46813025,140.1230935,BL,29.58350027,51.37208623
LF 17 10-20,6.35,27.23548351,2.084674528,5.368031722,NM,16.76664667,10.38563956,,0.227231755,7823.571654,4.430764141,114.0189156,2756.840549,2.44373621,9.293646146,17.47929515,10.10808884,13047.5533,993.9353697,13.19260431,635.4112082,950.7797025,27.34994874,17.13247848,15.70603037,140.6592115,BL,22.11412912,53.31997729
LF 18 10-20,6.46,28.04027091,1.687870147,3.217961957,NM,7.658978803,11.34439112,,0.15073077,7917.742346,4.438729547,102.4437127,2382.896915,2.064592004,8.381674584,16.34431149,9.286366193,12180.03826,750.4274148,11.24484292,519.386717,613.6727535,26.37010779,15.11452032,15.85978318,114.3558437,BL,48.08065982,43.5010231
LF 19 10-20,7.11,18.50848084,1.984353563,2.817558116,NM,5.549630025,2.618584425,,0.196838589,6183.379608,4.336712472,95.77177958,3518.759316,1.998060566,7.96852306,15.95778759,8.571771213,13343.87578,754.699892,11.12091822,504.9982821,742.4726937,32.71278686,15.04464957,12.87870633,198.3716095,BL,45.8188279,44.5637637
LF 20 10-20,6.72,22.66674165,1.148615463,4.136966225,NM,8.288342332,11.185003,,0.180833516,12163.41782,4.232682942,116.1842414,3224.119937,2.350422134,9.292092465,23.97962014,10.61355225,14822.48707,1298.568681,19.50189693,778.4205629,833.4915542,46.81747669,19.14333167,14.78895574,172.5631481,BL,42.88690669,56.69528778
