Samp_ID ,Samp_Loc,Latitude,Longitude,UID,Depth,Unit,Area,Elev,Soil_Type,SandPD,ClayPD,SiltPD,pH_soil,SMC,LOI,WEP_2024,WEP_2025,WEP100,MM3P,M3P,TP,Ag_tot,Al_tot,As_tot,Ba_tot,Ca_tot,Cd_tot,Co_tot,Cr_tot,Cu_tot,Fe_tot,K_tot,Li_tot,Mg_tot,Mn_tot,Na_tot,Ni_tot,Pb_tot,S_tot,Se_tot,Si_tot,Zn_tot
LF 3 10-20,LF 3 ,36.10481,-94.55821,3b,20,cm,1,280.1,,5.1,17.6,77.2,,28.77,2.33,1.79,0.85,,,8.83,303.99,0,5610.84,4.76,125.05,3049.65,,8.37,14.92,11.34,15066.27,720.5,7.96,515.69,967.7,26.75,12.82,38.04,264.86,,26.2,49.96
LF 4 10-20,LF 4,36.10513,-94.5582,4b,20,cm,1,280.4,,17.4,13.9,68.7,6.55,32.56,2.26,5.68,1.74,,12.74,20.55,375.39,0.19,6070.3,5.28,121.49,3492.52,2.68,9.67,14.99,11.39,14708.26,899.23,9.28,574.16,1058.63,23.31,15.77,26.48,225.72,,26.33,61.06
LF 5 10-20,LF 5,36.104883,-94.557583,5b,20,cm,1,280.9,,,,,,27.31,2.66,4.55,1.23,,6.39,10.49,370.41,0.22,8361.66,4.95,120.57,4251.38,2.55,9.57,18.41,11.62,13113.19,991.81,14.7,679.65,957.34,32.39,18.03,15.82,262.93,,34.81,59.94
LF 6 10-20,LF 6,36.105983,-94.558717,6b,20,cm,1,279.8,,12.3,13.9,73.7,,31.28,2.79,2.97,1.97,,9.53,8.77,303.83,0.18,7712.58,4.61,118.92,4014.35,2.39,9.54,17.23,10.76,12976.91,915.45,13.31,640.95,930.3,30.69,17.28,15.31,224.59,,28.03,53.58
LF 7 10-20,LF 7,36.106133,-94.55835,7b,20,cm,1,280.0,,25.0,11.2,63.7,,29.68,2.37,4.96,2.11,,16.03,12.99,424.5,0.23,9181.73,5.79,134.37,3536.12,2.94,10.41,19.76,12.47,14347.29,1015.03,15.93,725.49,1318.76,35.97,19.24,17.99,203.91,,29.64,70.54
LF 8 10-20,LF 8,36.10585,-94.559133,8b,20,cm,1,280.3,,12.3,18.6,69.1,6.32,29.35,2.27,3.42,2.23,,9.82,10.93,374.89,0.26,10652.36,5.68,135.9,3526.03,2.93,11.2,22.81,12.8,15405.68,1327.07,19.5,848.54,1156.49,40.72,21.17,18.69,219.62,,31.18,71.88
LF 9 10-20,LF 9,36.106433,-94.559783,9b,20,cm,1,280.1,,2.4,18.6,79.1,,34.44,1.65,7.28,3.01,,21.92,76.38,549.04,0.15,8060.05,3.86,90.02,2222.79,2.15,8.51,16.69,9.99,12298.72,795.86,10.96,564.11,585.64,25.03,12.87,16.5,125.95,,26.34,45.92
LF 10 10-20,LF 10,36.107017,-94.559417,10b,20,cm,1,279.6,,4.9,23.6,71.6,,29.71,2.17,2.18,1.61,,6.27,6.88,128.51,0.13,5184.66,4.19,98.23,2619.79,2.07,7.71,12.3,7.89,11817.52,646.67,6.81,444.31,442.74,27.85,11.16,22.52,94.83,,25.94,33.22
LF 11 10-20,LF 11,36.11752,-94.56006,11b,20,cm,3,278.8,,11.1,16.1,72.8,,31.15,2.53,2.7,1.83,,14.79,9.66,197.41,0.2,6906.47,5,108.22,3639.06,2.39,8.83,15.59,9.43,11876.15,898.47,11.73,575.82,902.28,28.18,15.8,13.88,210.89,,31.36,57.69
LF 12 10-20,LF 12,36.11762,-94.56076,12b,20,cm,3,278.4,,5.2,19.8,75.0,,31.64,2.74,2.34,2.58,,,15.33,252.39,,6382.69,,123.62,3692.25,,8.94,15.99,10.58,16421.38,892.46,9.87,607.64,931.8,28.98,14.27,37.89,268.77,,29.25,55.32
