"","Latitude","Longitude","Depth","Area","Elev","SandPD","ClayPD","SiltPD","pH_soil","SMC","LOI","WEP_2024","WEP_2025","WEP100","MM3P","M3P","TP","Ag_tot","Al_tot","As_tot","Ba_tot","Ca_tot","Cd_tot","Co_tot","Cr_tot","Cu_tot","Fe_tot","K_tot","Li_tot","Mg_tot","Mn_tot","Na_tot","Ni_tot","Pb_tot","S_tot","Si_tot","Zn_tot","P_sorb","PSI"
"Latitude",1,-0.097,-0.201,0.781,-0.695,-0.275,0.134,0.22,-0.617,-0.184,-0.168,-0.075,0.404,0.207,0.532,0.139,-0.53,-0.154,-0.125,-0.114,-0.279,-0.367,-0.321,-0.271,-0.211,-0.354,-0.304,-0.149,-0.111,-0.241,-0.304,-0.004,-0.321,0.024,-0.32,0.433,-0.349,-0.324,-0.324
"Longitude",-0.097,1,0.236,0.341,0.065,0.022,-0.169,0.056,0.433,0.241,0.178,-0.077,-0.022,-0.418,-0.415,-0.193,-0.106,0.154,-0.12,-0.062,-0.069,0.034,0.079,0.107,-0.032,-0.051,0.008,-0.064,0.01,0.005,0.132,0.237,-0.138,0.269,-0.068,0.122,-0.012,-0.195,-0.195
"Depth",-0.201,0.236,1,-0.183,0.084,-0.023,0.171,-0.171,NA,-0.11,0.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168,0.168
"Area",0.781,0.341,-0.183,1,-0.456,-0.021,-0.156,0.157,-0.225,-0.178,-0.229,-0.216,0.273,-0.129,0.064,-0.073,-0.689,-0.19,-0.248,-0.253,-0.428,-0.477,-0.422,-0.336,-0.253,-0.453,-0.412,-0.25,-0.171,-0.333,-0.39,0.082,-0.485,0.157,-0.424,0.516,-0.451,-0.719,-0.719
"Elev",-0.695,0.065,0.084,-0.456,1,0.366,-0.306,-0.275,0.469,0.159,0.096,0.077,-0.311,-0.206,-0.456,-0.236,0.322,-0.108,0.255,-0.021,0.212,0.18,0.137,0.248,0.32,0.332,0.234,0.258,0.223,0.289,0.219,0.165,0.28,-0.015,0.194,-0.101,0.29,0.261,0.261
"SandPD",-0.275,0.022,-0.023,-0.021,0.366,1,-0.432,-0.804,0.45,-0.203,0.194,0.023,0.018,-0.143,-0.229,-0.348,-0.143,-0.11,0.008,-0.191,-0.204,0.053,-0.181,-0.212,-0.005,-0.162,-0.164,-0.011,-0.074,-0.078,-0.2,-0.02,-0.048,-0.263,0.126,0.065,-0.116,-0.082,-0.082
"ClayPD",0.134,-0.169,0.171,-0.156,-0.306,-0.432,1,-0.076,0.186,-0.198,-0.392,-0.132,-0.078,-0.115,0.189,0.094,-0.147,0.079,0.248,0.123,0.111,-0.07,0.106,0.115,0.211,0.02,0.1,0.094,0.252,0.116,-0.011,0.11,0.216,-0.162,-0.278,0.177,0,0.129,0.129
"SiltPD",0.22,0.056,-0.171,0.157,-0.275,-0.804,-0.076,1,-0.6,0.33,-0.109,-0.095,-0.054,0.226,0.141,0.273,0.134,0.094,-0.253,0.163,0.097,-0.111,0.139,0.142,-0.153,0.068,0.123,-0.174,-0.149,-0.081,0.211,-0.057,-0.161,0.448,-0.083,-0.116,0.09,-0.115,-0.115
"pH_soil",-0.617,0.433,NA,-0.225,0.469,0.45,0.186,-0.6,1,-0.183,-0.126,-0.817,-0.9,-0.9,-0.736,-0.667,-0.133,NA,-0.45,-0.318,-0.35,0.1,-0.328,-0.321,-0.183,-0.417,-0.167,-0.433,-0.433,-0.533,-0.2,-0.033,-0.433,-0.318,0.117,0.1,-0.267,-0.1,-0.1
"SMC",-0.184,0.241,-0.11,-0.178,0.159,-0.203,-0.198,0.33,-0.183,1,0.31,0.321,0.057,0.239,0.22,0.035,0.517,0.205,0.207,0.394,0.443,0.185,0.565,0.565,0.415,0.498,0.446,0.266,0.309,0.511,0.499,0.404,0.364,0.388,0.012,-0.203,0.586,0.041,0.041
"LOI",-0.168,0.178,0.262,-0.229,0.096,0.194,-0.392,-0.109,-0.126,0.31,1,0.418,0.324,0.311,0.119,0.245,0.386,0.136,0.294,0.443,0.503,0.54,0.446,0.397,0.305,0.556,0.414,0.426,0.348,0.45,0.442,0.245,0.394,0.158,0.541,-0.262,0.469,0.46,0.46
