"","Latitude","Longitude","Depth","Area","Elev","SandPD","ClayPD","SiltPD","pH_soil","SMC","LOI","WEP_2024","WEP_2025","WEP100","MM3P","M3P","TP","Ag_tot","Al_tot","As_tot","Ba_tot","Ca_tot","Cd_tot","Co_tot","Cr_tot","Cu_tot","Fe_tot","K_tot","Li_tot","Mg_tot","Mn_tot","Na_tot","Ni_tot","Pb_tot","S_tot","Si_tot","Zn_tot","P_sorb","PSI"
"Latitude",0,0.4884,0.1494,0,0,0.0743,0.3903,0.1569,0.0857,0.2017,0.2422,0.6089,0.004,0.4578,0.0025,0.3414,1e-04,0.3506,0.3905,0.495,0.0524,0.0094,0.0336,0.0595,0.1459,0.0137,0.0339,0.3074,0.448,0.0956,0.0335,0.9783,0.0243,0.8723,0.0249,0.0019,0.0139,0.0321,0.0321
"Longitude",0.4884,0,0.0892,0.0125,0.6433,0.8876,0.2796,0.72,0.2499,0.0916,0.2159,0.597,0.8809,0.1227,0.0225,0.1846,0.4684,0.3485,0.4111,0.7095,0.6374,0.8172,0.6124,0.4631,0.8264,0.7309,0.9553,0.6638,0.9451,0.9703,0.366,0.1007,0.3452,0.0616,0.6407,0.4048,0.9323,0.2046,0.2046
"Depth",0.1494,0.0892,0,0.189,0.5487,0.8855,0.2717,0.2725,NA,0.4476,0.0665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2754,0.2754
"Area",0,0.0125,0.189,0,6e-04,0.8912,0.3175,0.3149,0.56,0.2152,0.1104,0.1359,0.0577,0.6469,0.7372,0.6165,0,0.2466,0.0861,0.1249,0.0022,5e-04,0.0043,0.0183,0.08,0.0012,0.0033,0.0834,0.2414,0.0196,0.0056,0.5761,4e-04,0.2816,0.0024,1e-04,0.0011,0,0
"Elev",0,0.6433,0.5487,6e-04,0,0.0159,0.0462,0.0739,0.2032,0.2695,0.5092,0.5992,0.0295,0.4603,0.0113,0.1025,0.0239,0.5145,0.0767,0.8994,0.1445,0.2164,0.3738,0.0857,0.0251,0.021,0.1058,0.0738,0.1244,0.0437,0.1306,0.2581,0.0518,0.9189,0.1823,0.4917,0.0433,0.0867,0.0867
"SandPD",0.0743,0.8876,0.8855,0.8912,0.0159,0,0.0038,0,0.2298,0.2093,0.2296,0.8889,0.9128,0.6099,0.2318,0.0301,0.3864,0.5699,0.9614,0.32,0.2131,0.7503,0.2992,0.1944,0.9768,0.3309,0.3185,0.9487,0.653,0.6366,0.2227,0.9042,0.7708,0.1061,0.4434,0.6924,0.4811,0.6011,0.6011
"ClayPD",0.3903,0.2796,0.2717,0.3175,0.0462,0.0038,0,0.6303,0.631,0.2198,0.0123,0.4218,0.6379,0.6843,0.3262,0.5702,0.3723,0.6848,0.1276,0.5257,0.5009,0.6716,0.5461,0.4843,0.1974,0.9059,0.5462,0.5711,0.1221,0.4808,0.9452,0.5042,0.1872,0.3243,0.0865,0.2808,0.999,0.4088,0.4088
"SiltPD",0.1569,0.72,0.2725,0.3149,0.0739,0,0.6303,0,0.0968,0.0373,0.5047,0.5637,0.7431,0.4184,0.4664,0.0929,0.4172,0.6268,0.1203,0.3974,0.5559,0.5001,0.426,0.3897,0.351,0.6829,0.4552,0.29,0.3644,0.6237,0.1977,0.7303,0.327,0.0042,0.6163,0.4817,0.5863,0.4618,0.4618
"pH_soil",0.0857,0.2499,NA,0.56,0.2032,0.2298,0.631,0.0968,0,0.6436,0.7476,0.0108,0.002,0.0833,0.0237,0.0589,0.7435,NA,0.2298,0.4043,0.3586,0.81,0.3892,0.4001,0.6436,0.2696,0.6777,0.2499,0.2499,0.1475,0.6134,0.9484,0.2499,0.4043,0.7756,0.81,0.4933,0.81,0.81
"SMC",0.2017,0.0916,0.4476,0.2152,0.2695,0.2093,0.2198,0.0373,0.6436,0,0.0284,0.0298,0.709,0.3892,0.2437,0.818,2e-04,0.2114,0.1678,0.0144,0.002,0.2186,1e-04,0,0.0042,5e-04,0.0019,0.0743,0.0368,3e-04,4e-04,0.0053,0.0129,0.0078,0.9361,0.1766,0,0.7985,0.7985
"LOI",0.2422,0.2159,0.0665,0.1104,0.5092,0.2296,0.0123,0.5047,0.7476,0.0284,0,0.0038,0.0281,0.2599,0.5319,0.1014,0.008,0.4094,0.0471,0.0053,4e-04,1e-04,0.0031,0.0063,0.0395,1e-04,0.0042,0.0032,0.0179,0.0017,0.0021,0.1009,0.0068,0.2954,1e-04,0.0789,0.001,0.0025,0.0025
"WEP_2024",0.6089,0.597,NA,0.1359,0.5992,0.8889,0.4218,0.5637,0.0108,0.0298,0.0038,0,0.0027,0.0893,0.0281,0.0427,3e-04,0.7327,4e-04,0.6075,0.0192,0.2048,0.0141,0.0095,0.0012,0.0022,0.1288,2e-04,0.0019,2e-04,0.1429,0.0821,1e-04,0.0861,0.6731,0.2146,0.0027,0.0344,0.0344
"WEP_2025",0.004,0.8809,NA,0.0577,0.0295,0.9128,0.6379,0.7431,0.002,0.709,0.0281,0.0027,0,0.0126,0,0.0058,0.34,0.6309,0.2339,0.2479,0.6868,0.6565,0.6464,0.8762,0.518,0.7251,0.9273,0.0305,0.1779,0.3102,0.9118,0.624,0.496,0.9693,0.5708,0.5213,0.68,0.5899,0.5899
"WEP100",0.4578,0.1227,NA,0.6469,0.4603,0.6099,0.6843,0.4184,0.0833,0.3892,0.2599,0.0893,0.0126,0,0.0033,0.0073,0.0275,0.7646,0.1227,0.0165,0.0488,0.3011,0.0689,0.3432,0.2739,0.1573,0.01,0.0156,0.3719,0.1607,0.0644,0.9438,0.0903,0.3751,0.1408,0.206,0.0298,0.1094,0.1094
"MM3P",0.0025,0.0225,NA,0.7372,0.0113,0.2318,0.3262,0.4664,0.0237,0.2437,0.5319,0.0281,0,0.0033,0,1e-04,0.1353,0.7839,0.013,0.0779,0.3915,0.3695,0.5022,0.965,0.5057,0.6176,0.3817,0.0028,0.1196,0.1682,0.8701,0.5577,0.0515,0.6986,0.3784,0.5792,0.4662,0.6198,0.6198
"M3P",0.3414,0.1846,NA,0.6165,0.1025,0.0301,0.5702,0.0929,0.0589,0.818,0.1014,0.0427,0.0058,0.0073,1e-04,0,0.0246,0.4111,0.1432,0.1707,0.1235,0.3141,0.0299,0.2441,0.3553,0.1699,0.0544,0.024,0.1216,0.2048,0.3085,0.4347,0.1475,0.5249,0.4387,0.4783,0.1211,0.0038,0.0038
"TP",1e-04,0.4684,NA,0,0.0239,0.3864,0.3723,0.4172,0.7435,2e-04,0.008,3e-04,0.34,0.0275,0.1353,0.0246,0,0.1451,0.054,0.012,3e-04,7e-04,1e-04,6e-04,0.0256,1e-04,3e-04,0.0168,0.0818,0.001,3e-04,0.5242,3e-04,0.5647,0.005,4e-04,0,1e-04,1e-04
"Ag_tot",0.3506,0.3485,NA,0.2466,0.5145,0.5699,0.6848,0.6268,NA,0.2114,0.4094,0.7327,0.6309,0.7646,0.7839,0.4111,0.1451,0,0.4228,0.3293,0.4626,0.7688,0.0223,0.7232,0.4661,0.9144,0.9325,0.4528,0.9937,0.8915,0.3755,0.9894,0.9926,0.4772,0.8353,0.0234,0.7405,0.2681,0.2681
"Al_tot",0.3905,0.4111,NA,0.0861,0.0767,0.9614,0.1276,0.1203,0.2298,0.1678,0.0471,4e-04,0.2339,0.1227,0.013,0.1432,0.054,0.4228,0,0.0283,0,1e-04,1e-04,0,0,0,0,0,0,0,5e-04,0,0,0.0046,0.1466,0.6734,0,0.0045,0.0045
"As_tot",0.495,0.7095,NA,0.1249,0.8994,0.32,0.5257,0.3974,0.4043,0.0144,0.0053,0.6075,0.2479,0.0165,0.0779,0.1707,0.012,0.3293,0.0283,0,0,0.0148,0,0,0.0267,0,0,0.0114,0.0049,0.0031,1e-04,0.1959,0.0018,0.008,0.0064,0.1622,6e-04,0.1081,0.1081
