,Elev,SandPD,ClayPD,SiltPD,SMC,LOI,WEP_2024,WEP_2025,M3P,TP,Al_tot,As_tot,Fe_tot,Ca_tot,Mg_tot,Na_tot,Si_tot
Elev,1,0.454343263,-0.501547871,-0.264600667,0.011844556,0.156285176,0.068577784,-0.309650317,-0.361303456,0.07674285,0.063163183,-0.255474611,-0.035035828,0.059462216,0.043177957,0.008143132,-0.218850561
SandPD,0.454343263,1,-0.436510556,-0.828889116,-0.298667981,0.241332942,0.007907092,-0.019891277,-0.470944296,-0.115963611,0.073763509,-0.191365807,-0.153447835,0.12680416,-0.040952316,-0.0658772,-0.002960408
ClayPD,-0.501547871,-0.436510556,1,-0.022013424,-0.17869593,-0.484371183,-0.288985582,-0.038613919,0.124089086,-0.285345022,0.148524242,0.122800511,0.000741386,-0.111207835,-0.032868093,0.045106511,0.152725427
SiltPD,-0.264600667,-0.828889116,-0.022013424,1,0.483481395,-0.088221126,0.027530872,0.004074075,0.4540748,0.167159809,-0.264267324,0.163288329,0.219154525,-0.194995759,-0.005669915,0.12253455,0.049550123
SMC,0.011844556,-0.298667981,-0.17869593,0.483481395,1,0.453019931,0.04983968,0.092030695,0.252679563,0.421286031,-0.035718685,0.455164724,0.474442669,0.051484173,0.361867228,0.457748214,-0.007882744
LOI,0.156285176,0.241332942,-0.484371183,-0.088221126,0.453019931,1,0.39982764,0.256067996,0.249661553,0.592363125,0.214861264,0.533846035,0.433184044,0.565710669,0.532331762,0.191643257,-0.486590296
WEP_2024,0.068577784,0.007907092,-0.288985582,0.027530872,0.04983968,0.39982764,1,0.565480603,0.536829612,0.530348472,0.426298809,0.212518718,0.100160484,0.232145358,0.396941426,-0.111152355,-0.442827756
WEP_2025,-0.309650317,-0.019891277,-0.038613919,0.004074075,0.092030695,0.256067996,0.565480603,1,0.565330564,0.245497432,0.371037852,0.254329734,0.092512762,0.051313746,0.336746455,0.138662871,-0.005180715
M3P,-0.361303456,-0.470944296,0.124089086,0.4540748,0.252679563,0.249661553,0.536829612,0.565330564,1,0.452137493,0.350332605,0.437926118,0.479428445,0.238482392,0.450357245,0.134286067,-0.154471549
TP,0.07674285,-0.115963611,-0.285345022,0.167159809,0.421286031,0.592363125,0.530348472,0.245497432,0.452137493,1,0.29264688,0.616603067,0.55622614,0.596625205,0.462125881,-0.037817196,-0.610420007
Al_tot,0.063163183,0.073763509,0.148524242,-0.264267324,-0.035718685,0.214861264,0.426298809,0.371037852,0.350332605,0.29264688,1,0.285539006,0.267487685,0.572906404,0.742364532,0.178593424,-0.288669951
As_tot,-0.255474611,-0.191365807,0.122800511,0.163288329,0.455164724,0.533846035,0.212518718,0.254329734,0.437926118,0.616603067,0.285539006,1,0.749416386,0.397432751,0.558974714,0.246542412,-0.316167757
Fe_tot,-0.035035828,-0.153447835,0.000741386,0.219154525,0.474442669,0.433184044,0.100160484,0.092512762,0.479428445,0.55622614,0.267487685,0.749416386,1,0.356157635,0.537931034,0.334031287,-0.166009852
Ca_tot,0.059462216,0.12680416,-0.111207835,-0.194995759,0.051484173,0.565710669,0.232145358,0.051313746,0.238482392,0.596625205,0.572906404,0.397432751,0.356157635,1,0.50591133,-0.159871907,-0.616256158
Mg_tot,0.043177957,-0.040952316,-0.032868093,-0.005669915,0.361867228,0.532331762,0.396941426,0.336746455,0.450357245,0.462125881,0.742364532,0.558974714,0.537931034,0.50591133,1,0.599334898,-0.31182266
Na_tot,0.008143132,-0.0658772,0.045106511,0.12253455,0.457748214,0.191643257,-0.111152355,0.138662871,0.134286067,-0.037817196,0.178593424,0.246542412,0.334031287,-0.159871907,0.599334898,1,0.235989656
Si_tot,-0.218850561,-0.002960408,0.152725427,0.049550123,-0.007882744,-0.486590296,-0.442827756,-0.005180715,-0.154471549,-0.610420007,-0.288669951,-0.316167757,-0.166009852,-0.616256158,-0.31182266,0.235989656,1
