"","Elev","SandPD","ClayPD","SiltPD","SMC","LOI","WEP_2024","WEP_2025","M3P","TP","Al_tot","As_tot","Fe_tot","Ca_tot","Mg_tot","Na_tot","Si_tot","P_sorb","PSI"
"Elev",1,0.329931717509455,-0.114431776489824,-0.312997868740209,-0.325880055312511,-0.560842029766459,-0.0214313042106879,-0.128759979154931,-0.211495476974589,-0.1478629247718,0.123403013086913,-0.0304794681410259,-0.00294254576660298,-0.0967361920770731,0.0923223734271686,0.0924826879900251,0.237426661542778,-0.198567823756505,-0.198567823756505
"SandPD",0.329931717509455,1,-0.656190039386252,-0.859914714238825,-0.508157163225414,0.0366404735393066,-0.0545154414613333,0.0133981898124797,-0.120561605166992,-0.267914678148871,-0.139462435200782,-0.254156407063315,-0.0800073970362381,-0.169189954283054,-0.258005505121447,-0.319774172550548,-0.237269643045541,-0.167718715559445,-0.167718715559445
"ClayPD",-0.114431776489824,-0.656190039386252,1,0.252588163009187,0.106568657834603,0.0398761334257291,0.312380201406545,0.0474178894342845,0.358141574688476,0.0610071846057331,0.418781246133933,0.0892402204146271,0.0869168624051559,-0.0222345461966678,0.353180147024756,0.318844787222085,0.369534482657016,0.374243025752734,0.374243025752734
"SiltPD",-0.312997868740209,-0.859914714238825,0.252588163009187,1,0.55182102412298,-0.108911774417749,-0.0235707759284338,-0.00202542784802426,-0.0631449462274391,0.34646877201178,-0.0519150869858246,0.211623740412174,0.0163845487295688,0.296578741610509,0.1174532819041,0.18476717598146,0.0891024897203515,0.0481665733097114,0.0481665733097114
"SMC",-0.325880055312511,-0.508157163225414,0.106568657834603,0.55182102412298,1,0.153280401705421,-0.147363237594166,0.0963291451096329,0.157162213287187,0.399310262913056,0.00369503636255141,0.395416458664891,0.0640472969508911,0.453996801078816,0.228353247205677,0.305186810029175,0.323192513844497,-0.160217301019244,-0.160217301019244
"LOI",-0.560842029766459,0.0366404735393066,0.0398761334257291,-0.108911774417749,0.153280401705421,1,-0.09929777689416,0.220963174480574,0.0798029556650246,0.111330049261084,-0.0251231527093596,0.134062935336723,0.326108374384236,0.319704433497537,0.0315270935960591,-0.252873563218391,-0.268965517241379,0.296172488718034,0.296172488718034
"WEP_2024",-0.0214313042106879,-0.0545154414613333,0.312380201406545,-0.0235707759284338,-0.147363237594166,-0.09929777689416,1,0.578160816586056,0.653405469752682,0.302869202029021,0.659638855266596,-0.229940123125717,0.191401602250786,-0.1976349877647,0.439087008994858,0.283755180877133,0.135851137229724,0.301613499752598,0.301613499752598
"WEP_2025",-0.128759979154931,0.0133981898124797,0.0474178894342845,-0.00202542784802426,0.0963291451096329,0.220963174480574,0.578160816586056,1,0.456645287232936,0.637580212362967,0.28432631091862,0.212929710656483,0.397983508062105,-0.121539873719565,0.17800183617149,-0.0820647246836116,-0.0850595797977046,-0.012650105470694,-0.012650105470694
"M3P",-0.211495476974589,-0.120561605166992,0.358141574688476,-0.0631449462274391,0.157162213287187,0.0798029556650246,0.653405469752682,0.456645287232936,1,0.480205278592375,0.483137829912023,0.172708628431238,0.383064516129032,-0.0784457478005865,0.348607038123167,0.283064516129032,0.17375366568915,0.17523600110258,0.17523600110258
"TP",-0.1478629247718,-0.267914678148871,0.0610071846057331,0.34646877201178,0.399310262913056,0.111330049261084,0.302869202029021,0.637580212362967,0.480205278592375,1,0.0542521994134897,0.423050640335528,0.427052785923754,0.0905425219941349,0.143695014662757,-0.019758064516129,0.0714809384164223,-0.0555402806841858,-0.0555402806841858
"Al_tot",0.123403013086913,-0.139462435200782,0.418781246133933,-0.0519150869858246,0.00369503636255141,-0.0251231527093596,0.659638855266596,0.28432631091862,0.483137829912023,0.0542521994134897,1,0.208276345969552,0.467375366568915,0.0502199413489736,0.887463343108504,0.708870967741936,0.490102639296188,0.4142608394266,0.4142608394266
"As_tot",-0.0304794681410259,-0.254156407063315,0.0892402204146271,0.211623740412174,0.395416458664891,0.134062935336723,-0.229940123125717,0.212929710656483,0.172708628431238,0.423050640335528,0.208276345969552,1,0.6039672035833,0.381668968968835,0.351231210690854,0.261588771909522,0.0793433698931628,-0.0807251593814138,-0.0807251593814138
"Fe_tot",-0.00294254576660298,-0.0800073970362381,0.0869168624051559,0.0163845487295688,0.0640472969508911,0.326108374384236,0.191401602250786,0.397983508062105,0.383064516129032,0.427052785923754,0.467375366568915,0.6039672035833,1,0.202346041055718,0.508064516129032,0.192338709677419,-0.0062316715542522,0.168637155872775,0.168637155872775
"Ca_tot",-0.0967361920770731,-0.169189954283054,-0.0222345461966678,0.296578741610509,0.453996801078816,0.319704433497537,-0.1976349877647,-0.121539873719565,-0.0784457478005865,0.0905425219941349,0.0502199413489736,0.381668968968835,0.202346041055718,1,0.25183284457478,0.305645161290323,0.218108504398827,0.00329942261490212,0.00329942261490212
"Mg_tot",0.0923223734271686,-0.258005505121447,0.353180147024756,0.1174532819041,0.228353247205677,0.0315270935960591,0.439087008994858,0.17800183617149,0.348607038123167,0.143695014662757,0.887463343108504,0.351231210690854,0.508064516129032,0.25183284457478,1,0.816129032258065,0.538489736070381,0.297497939110342,0.297497939110342
"Na_tot",0.0924826879900251,-0.319774172550548,0.318844787222085,0.18476717598146,0.305186810029175,-0.252873563218391,0.283755180877133,-0.0820647246836116,0.283064516129032,-0.019758064516129,0.708870967741936,0.261588771909522,0.192338709677419,0.305645161290323,0.816129032258065,1,0.733467741935484,0.0701683641029407,0.0701683641029407
"Si_tot",0.237426661542778,-0.237269643045541,0.369534482657016,0.0891024897203515,0.323192513844497,-0.268965517241379,0.135851137229724,-0.0850595797977046,0.17375366568915,0.0714809384164223,0.490102639296188,0.0793433698931628,-0.0062316715542522,0.218108504398827,0.538489736070381,0.733467741935484,1,-0.0702043811948619,-0.0702043811948619
