"","ELEV","SAND_P","CLAY_P","SILT_P","SMC","LOI","WEP","WEP100","M3","TP","FE","AL","MG","CA","MN","AS","NA.","P_sorb","PSI"
"ELEV",1,0.645024728687955,-0.775935387168027,-0.423007588132849,0.0900140411910325,0.125000382929904,-0.187500574394856,-0.381018338740124,-0.486127171977525,-0.0320597954926965,-0.154133632176426,-0.443904860668105,-0.110976215167026,-0.177561944267242,0.00493227622964562,-0.12531016992451,0.311966471525085,-0.0147968286889368,-0.0147968286889368
"SAND_P",0.645024728687955,1,-0.59569332283919,-0.871763255240444,-0.162262597813428,0.00678593589952671,-0.240592272801402,-0.304857001952501,-0.726939468993459,-0.33558855456868,-0.49293410396352,-0.42286616399863,-0.312232574580384,-0.303627739847854,-0.308544788266442,-0.34215442923408,0.156116287290192,-0.255686517766614,-0.255686517766614
"CLAY_P",-0.775935387168027,-0.59569332283919,1,0.199384955165184,-0.294478749278377,-0.219828253016897,0.0849756272166156,0.0957055935154726,0.223450011408859,-0.0748466821082542,0.0368098436597971,0.51656480602582,0.0871166299948532,0.295705744067037,-0.144785385061869,-0.0325552825552826,-0.295705744067037,-0.013496942675259,-0.013496942675259
"SILT_P",-0.423007588132849,-0.871763255240444,0.199384955165184,1,0.30977405037109,0.00863664569030673,0.164096268115828,0.351568961929094,0.719559372861546,0.377383466126685,0.527353442893641,0.223725703045787,0.259374304080555,0.169638170441311,0.45359771661481,0.358154456500422,-0.0823605610113611,0.282730284068852,0.282730284068852
"SMC",0.0900140411910325,-0.162262597813428,-0.294478749278377,0.30977405037109,1,0.632230626621679,0.522758786603528,0.348039215686275,0.437768322625654,0.674019607843137,0.558823529411765,0.333333333333333,0.661764705882353,0.311274509803922,0.615196078431373,0.564417602783556,0.352941176470588,0.340686274509804,0.340686274509804
"LOI",0.125000382929904,0.00678593589952671,-0.219828253016897,0.00863664569030673,0.632230626621679,1,0.635185185185185,0.507998538511193,0.331693877844558,0.776143045521945,0.586719861670313,0.382536429726347,0.580569758298507,0.638380729993485,0.587949882344674,0.568967243102557,0.0467407856257272,0.683891494944851,0.683891494944851
"WEP",-0.187500574394856,-0.240592272801402,0.0849756272166156,0.164096268115828,0.522758786603528,0.635185185185185,1,0.581799778972868,0.59754129014298,0.699881763711548,0.479708063000885,0.562119448183088,0.639610750667847,0.308735189264672,0.362856098936567,0.472907838422904,-0.0811813645078421,0.428047194677713,0.428047194677713
"WEP100",-0.381018338740124,-0.304857001952501,0.0957055935154726,0.351568961929094,0.348039215686275,0.507998538511193,0.581799778972868,1,0.670754264639307,0.629901960784314,0.686274509803922,0.588235294117647,0.514705882352941,0.492647058823529,0.568627450980392,0.604908430809333,-0.232843137254902,0.580882352941177,0.580882352941177
"M3",-0.486127171977525,-0.726939468993459,0.223450011408859,0.719559372861546,0.437768322625654,0.331693877844558,0.59754129014298,0.670754264639307,1,0.667075539239092,0.787247235646134,0.50766410522975,0.464745642227235,0.420600937424648,0.464745642227235,0.550030797314115,-0.163090159409557,0.483139269228313,0.483139269228313
"TP",-0.0320597954926965,-0.33558855456868,-0.0748466821082542,0.377383466126685,0.674019607843137,0.776143045521945,0.699881763711548,0.629901960784314,0.667075539239092,1,0.884803921568628,0.406862745098039,0.691176470588235,0.659313725490196,0.818627450980392,0.849080393752654,0,0.784313725490196,0.784313725490196
