"","Elev","SandPD","ClayPD","SiltPD","SMC","LOI","WEP_2024","WEP_2025","M3P","TP","Al_tot","As_tot","Fe_tot","Ca_tot","Mg_tot","Na_tot","Si_tot","P_sorb","PSI"
"Elev",1,0.365583652687189,-0.305716828067906,-0.275381717379065,-0.0394467503696908,0.123867269077178,0.0579785355882665,-0.303838100662061,-0.219808640739832,0.22089585212029,0.107104544122995,-0.266324032192894,0.0958204832847518,0.069396974155198,0.130142835001076,0.0795600926830455,-0.063252593452091,0.261284880231131,0.261284880231131
"SandPD",0.365583652687189,1,-0.4319096463518,-0.804264378404397,-0.202868323110917,0.194291314209585,0.0231128722111223,0.0181319524359528,-0.347720728436373,-0.142640076615098,0.00801137274553905,-0.19136580697784,-0.163979616829578,0.0526316766447439,-0.0780855318236084,-0.0199290392935895,0.0654159305056755,-0.0820188663086375,-0.0820188663086375
"ClayPD",-0.305716828067906,-0.4319096463518,1,-0.0755154223725905,-0.198363451558409,-0.392369898683432,-0.132370312646428,-0.077772242446074,0.0937631630158585,-0.146862494592768,0.248211460410355,0.122800510747873,0.0996298865231417,-0.0700760669734636,0.116285647369008,0.110203231065562,0.177086943191527,0.129235429103944,0.129235429103944
"SiltPD",-0.275381717379065,-0.804264378404397,-0.0755154223725905,1,0.330437758905949,-0.108619212807211,-0.0953299669245748,-0.0542049490645896,0.272819547704882,0.133671233419842,-0.252938979076025,0.16328832923991,0.123125344381959,-0.111268829737771,-0.0810701856012901,-0.0570082446081877,-0.116043449024667,-0.115255313495956,-0.115255313495956
"SMC",-0.0394467503696908,-0.202868323110917,-0.198363451558409,0.330437758905949,1,0.386302298031844,0.18758933293887,0.170239515741327,0.256610935042653,0.31477858849547,0.130527564639865,0.446765574335,0.472436280735569,0.112744517686205,0.429045646168638,0.467129054113805,0.0417407805614666,0.041120355798247,0.041120355798247
"LOI",0.123867269077178,0.194291314209585,-0.392369898683432,-0.108619212807211,0.386302298031844,1,0.454118077836099,0.294629243107381,0.297700096409455,0.537393698831048,0.32384373237497,0.532422473774001,0.517745761561304,0.607623096978146,0.54818041482415,0.278386580932057,-0.349962605845027,0.459725771138487,0.459725771138487
"WEP_2024",0.0579785355882665,0.0231128722111223,-0.132370312646428,-0.0953299669245748,0.18758933293887,0.454118077836099,1,0.557908613024185,0.43378186097583,0.446246292051292,0.625946536277526,0.214932681633573,0.295635460610884,0.254945646737867,0.610347208095261,0.349232181356495,-0.0484068598922107,0.335291584062185,0.335291584062185
"WEP_2025",-0.303838100662061,0.0181319524359528,-0.077772242446074,-0.0542049490645896,0.170239515741327,0.294629243107381,0.557908613024185,1,0.369719811355136,0.239652625353641,0.264399472869836,0.252710760880659,0.0934887972656313,0.105891331174238,0.278211385631693,0.149690077095045,0.0441708976453772,-0.0878512818526284,-0.0878512818526284
"M3P",-0.219808640739832,-0.347720728436373,0.0937631630158585,0.272819547704882,0.256610935042653,0.297700096409455,0.43378186097583,0.369719811355136,1,0.434174728486591,0.342763321651918,0.4375508206213,0.4587379905711,0.278489334427291,0.40760029270625,0.158682495824334,-0.0755983106522759,0.447009160785584,0.447009160785584
"TP",0.22089585212029,-0.142640076615098,-0.146862494592768,0.133671233419842,0.31477858849547,0.537393698831048,0.446246292051292,0.239652625353641,0.434174728486591,1,0.285942117674669,0.611721736929836,0.591022093618903,0.582672733883652,0.42375345982168,0.0404841206994218,-0.375433993662168,0.587644824512509,0.587644824512509
