"","ELEV","SAND_P","CLAY_P","SILT_P","SMC","LOI","WEP","WEP100","M3","TP","FE","AL","MG","CA","MN","AS","NA.","P_sorb","PSI"
"ELEV",1,0.312543472879494,-0.212095015331387,-0.238349738707148,-0.114031667235564,-0.087946947226723,0.0915671517062766,-0.381018338740124,-0.129753876872089,0.103162605721019,0.124785825346876,0.22415271253137,0.213430838210432,-0.0102849461624335,0.0431702155039586,-0.0824120161338072,0.126281524820039,0.159524268867861,0.159524268867861
"SAND_P",0.312543472879494,1,-0.567888738693726,-0.794636679378295,-0.140565769120654,0.113548273755876,-0.0119307925238551,-0.304857001952501,-0.227128492466507,-0.187038995417626,-0.150762117466232,-0.0140772672081955,-0.0627340779688303,0.118605488173665,-0.144950732798234,-0.0360136160753503,-0.138917786872552,-0.150598246725075,-0.150598246725075
"CLAY_P",-0.212095015331387,-0.567888738693726,1,0.0218453340643625,-0.296124252075139,-0.350368073238136,0.0445646086668239,0.0957055935154726,0.201673844499849,-0.060099645072722,0.138604026359703,0.208761731443615,0.0716162195166927,-0.23803136163953,-0.0785927049614147,-0.126474741687668,0.157599345803203,0.198394092898116,0.198394092898116
"SILT_P",-0.238349738707148,-0.794636679378295,0.0218453340643625,1,0.350544501038057,0.00478582498700701,-0.0333874124519795,0.351568961929094,0.149478607932934,0.25213283519939,0.10415930983434,-0.135731627392567,0.00741125738822146,0.0171560227360717,0.223050863344171,0.0861235185739233,0.0790276322986675,-0.00195147213386851,-0.00195147213386851
"SMC",-0.114031667235564,-0.140565769120654,-0.296124252075139,0.350544501038057,1,0.546218075758177,0.0867815944232573,0.348039215686275,0.141757496411482,0.327002181085888,0.10628809960571,0.0160470097678973,0.294821243114237,0.360761163129002,0.411576694060677,0.377574492383339,0.212430369022495,0.0583334669731906,0.0583334669731906
"LOI",-0.087946947226723,0.113548273755876,-0.350368073238136,0.00478582498700701,0.546218075758177,1,0.154692431868377,0.507998538511193,0.0961630776785541,0.35087565945507,0.199603129932827,0.161425743499736,0.350227171275146,0.633322011261202,0.442281004892786,0.428436146655625,0.0207602397163229,0.272919048343729,0.272919048343729
"WEP",0.0915671517062766,-0.0119307925238551,0.0445646086668239,-0.0333874124519795,0.0867815944232573,0.154692431868377,1,0.581799778972868,0.417635884573259,0.452770030475448,0.229765339959457,0.579580964089941,0.564755876459631,0.10051298235883,0.231924748454786,-0.00458949283915187,0.220499547468139,0.243120960490411,0.243120960490411
"WEP100",-0.381018338740124,-0.304857001952501,0.0957055935154726,0.351568961929094,0.348039215686275,0.507998538511193,0.581799778972868,1,0.670754264639307,0.629901960784314,0.686274509803922,0.588235294117647,0.514705882352941,0.492647058823529,0.568627450980392,0.604908430809333,-0.232843137254902,0.580882352941177,0.580882352941177
"M3",-0.129753876872089,-0.227128492466507,0.201673844499849,0.149478607932934,0.141757496411482,0.0961630776785541,0.417635884573259,0.670754264639307,1,0.480756130814734,0.403695629269185,0.351601461452032,0.333166037682039,0.0249023448978357,0.163001438018235,0.226486838777836,0.182053549365691,0.224664796423335,0.224664796423335
"TP",0.103162605721019,-0.187038995417626,-0.060099645072722,0.25213283519939,0.327002181085888,0.35087565945507,0.452770030475448,0.629901960784314,0.480756130814734,1,0.524329980571549,0.289713199652417,0.400431375065049,0.346330108701132,0.486001665710115,0.471828641680508,0.0319147536406712,0.359024736119625,0.359024736119625
